,name,recon_1
0,ADNP,1.8441472
1,AEBP2,0.694606
2,AFF1,0.7184921
3,AFF3,0.99154466
4,AFF4,2.3472855
5,AHR,0.67196316
6,AHRR,0.7552783
7,APEX2,1.002424
8,APOL2,3.880295
9,ARID2,0.6819145
10,ARNT,0.7830256
11,ARNT2,0.23431993
12,ARNTL,0.7991364
13,ARNTL2,0.9050897
14,ATF1,1.5156249
15,ATF2,1.0069152
16,ATF3,2.704841
17,ATF4,5.3986692
18,ATF6,1.3901737
19,ATF6B,1.5485231
20,BACH1,2.1774592
21,BACH2,0.6460402
22,BATF2,2.3584514
23,BATF3,0.5870883
24,BAZ1A,0.65461457
25,BAZ2A,0.87771213
26,BAZ2B,0.94323915
27,BCL11A,0.7879125
28,BCL6,0.7294463
29,BHLHE40,0.8262705
30,BHLHE41,1.0789062
31,BNC2,0.42433134
32,BPTF,2.2602355
33,CAMTA1,1.4626739
34,CAMTA2,0.61996114
35,CARHSP1,0.8283573
36,CDC5L,0.7140146
37,CEBPB,2.0739307
38,CEBPG,0.85675776
39,CERS2,0.6420225
40,CERS4,1.9490967
41,CERS5,0.90409166
42,CERS6,0.7116284
43,CLOCK,0.8811057
44,CNOT1,0.74894214
45,CREB1,1.2018106
46,CREB3,0.72781986
47,CREB3L2,1.77372
48,CREB3L4,0.5440551
49,CREB5,0.75145155
50,CREBBP,0.78672796
51,CREBL2,1.3401415
52,CREBZF,1.0226483
53,CREM,0.55514747
54,CSDE1,5.7769
55,CTCF,0.6995253
56,CTCFL,0.86424506
57,CUX1,1.8880537
58,DBP,1.5908604
59,DDIT3,0.6302896
60,DEAF1,0.79764646
61,DNAJC21,0.8106629
62,DPF2,1.9480783
63,DZIP1,1.1674665
64,DZIP1L,0.654988
65,E2F1,0.5167039
66,E2F2,0.55231297
67,E2F3,0.9325615
68,E2F4,1.8098052
69,E2F5,0.5493664
70,E2F6,6.135366
71,E2F7,0.59622675
72,E2F8,0.5828373
73,E4F1,1.1297276
74,ECD,2.2022264
75,EDF1,4.0846148
76,EGR1,2.237559
77,EGR2,0.48975292
78,EHF,0.69316465
79,ELF1,1.2763978
80,ELF2,4.099828
81,ELF4,1.668242
82,ELK1,2.0809233
83,ELK3,0.6626337
84,ELK4,0.95961505
85,EP300,1.1497282
86,EPAS1,0.7655691
87,ERF,0.6928127
88,ERI2,2.2008212
89,ESR2,0.50576806
90,ESRRA,2.4119194
91,ETS1,0.48345953
92,ETS2,3.1819954
93,ETV1,1.3151573
94,ETV2,0.77234405
95,ETV3,1.3267407
96,ETV4,0.48450026
97,ETV5,0.38271523
98,ETV6,0.89303136
99,ETV7,0.8566839
100,FARSA,1.1099695
101,FBXO41,0.47503757
102,FIZ1,0.69274867
103,FLI1,0.6261393
104,FOS,0.7331186
105,FOSB,3.035419
106,FOSL1,0.46081695
107,FOSL2,0.77549803
108,FOXC1,0.3509439
109,FOXJ2,2.019919
110,FOXJ3,0.8360981
111,FOXK1,0.79249585
112,FOXK2,1.1481806
113,FOXM1,0.69165486
114,FOXN2,0.6437394
115,FOXN3,1.1577932
116,FOXO1,0.7969889
117,FOXO3,0.983508
118,FOXO4,0.9741804
119,FOXP1,2.1306252
120,FOXP2,1.5433381
121,FOXP3,1.3757572
122,FOXP4,1.7691973
123,GABPA,1.2145187
124,GATA2,1.0775856
125,GATA6,0.59307975
126,GATAD1,2.0179532
127,GATAD2A,1.5893854
128,GATAD2B,0.68524015
129,GFI1,0.3752804
130,GLI1,1.9141942
131,GLI3,0.81383026
132,GLI4,0.78779674
133,GLIS2,1.2373773
134,GMEB1,1.8969868
135,GMEB2,2.6850462
136,GRHL1,0.63813424
137,GTF3A,0.7727698
138,GZF1,2.8229563
139,HES1,1.7701266
140,HES2,1.5126212
141,HES4,0.6132003
142,HES6,1.1432571
143,HESX1,0.8783258
144,HEY1,0.94079757
145,HHEX,0.67036265
146,HIC1,3.235462
147,HIF1A,0.59862936
148,HINFP,1.2812002
149,HIVEP1,3.584865
150,HIVEP2,0.6952435
151,HIVEP3,0.6549214
152,HLX,0.42016858
153,HMBOX1,3.4019065
154,HMOX2,0.9839974
155,HOMEZ,1.8009807
156,HOXA1,1.5916141
157,HOXA3,0.9513802
158,HOXA4,0.47811517
159,HOXA5,0.38118935
160,HOXA6,2.1372447
161,HOXA7,1.4380562
162,HOXB3,1.1036955
163,HOXB4,2.411312
164,HOXB7,0.33088773
165,HOXC4,1.3895758
166,HOXC6,3.1006696
167,HOXD8,0.46912628
168,HSF2,0.9730116
169,HSFX1,0.71043193
170,ID1,1.0932579
171,ID2,1.0602013
172,ID3,0.7004648
173,IKZF2,1.7030365
174,IKZF3,0.4500492
175,IKZF4,1.207855
176,IKZF5,0.78187644
177,IRF1,0.63795024
178,IRF2,1.4175048
179,IRF3,0.7481817
180,IRF5,5.4092155
181,IRF6,1.005321
182,IRF9,0.81549966
183,IRX3,1.0887545
184,IRX5,0.4722807
185,JARID2,0.53295594
186,JDP2,3.5153694
187,JUN,1.2405884
188,JUNB,0.7981986
189,JUND,0.9423702
190,KAT7,0.5849445
191,KDM5A,0.97364765
192,KDM5B,1.7521648
193,KDM5C,0.78560746
194,KLF10,2.7530682
195,KLF11,0.75713694
196,KLF12,0.95768446
197,KLF13,0.8186681
198,KLF15,0.8942728
199,KLF16,0.8060068
