	names
0	ZSCAN18
1	TCF25
2	RBL2
3	SMO
4	PRICKLE1
5	ZNF597
6	ZNF304
7	ZNF513
8	ZNF816
9	WDR5
10	ZNF684
11	PPRC1
12	XBP1
13	CAMK1
14	AP3B1
15	ZNF717
16	SOX5
17	ZNF587B
18	SMYD3
19	PAXBP1
20	MBD3
21	PPHLN1
22	AP3D1
23	HOXA4
24	EDN1
25	KANK2
26	ZNF621
27	PMF1
28	YWHAQ
29	ZNF384
30	MCRS1
31	PIAS2
32	TCEAL7
33	ZXDB
34	GTF2I
35	ZNF641
36	FANK1
37	SALL2
38	ZKSCAN1
39	MAPK8IP1
40	NCOR1
41	IRF6
42	KDM4C
43	NCOA2
44	GTF2IRD2
45	TCF7
46	ZNF234
47	TXLNG
48	ZKSCAN5
49	PPP3CA
50	ZNF275
51	PRDM5
52	ATF3
53	ZNF136
54	RNF4
55	ZNF689
56	ZNF544
57	ATF6
58	ERCC1
59	CARD8
60	BRD1
61	CBX2
62	CARM1
63	SATB1
64	SET
65	SOX4
66	ZMYND11
67	ZNF526
68	NR1D1
69	MED27
70	DTX3L
71	ZNF510
72	IMPACT
73	POU2F1
74	ZBTB7B
75	DDX21
76	PRDX3
77	SENP1
78	DNMT3A
79	SUDS3
80	HMGN1
81	MAML2
82	TAF6L
83	ABHD14B
84	CRYAB
85	MLXIP
86	ZNF594
87	ZNF483
88	KMT2D
89	ZNF253
90	TRIM11
91	ZNF268
92	BATF
93	HSF2
94	CARD14
95	TTC5
96	AGO2
97	JUNB
98	ZNF48
99	ZNF579
100	CCDC22
101	YAF2
102	FKBP4
103	SCAI
104	TEF
105	ZBTB11
106	DBP
107	EBF2
108	GCFC2
109	ZNF440
110	ZNF565
111	ZNF496
112	PKNOX1
113	STRN3
114	SAMD13
115	CCNH
116	ZNF433
117	METTL23
118	USP16
119	PPARA
120	MED6
121	KLF7
122	HAX1
123	ZNF354A
124	RELB
125	TNIP2
126	ZNF81
127	DUSP22
128	N4BP2L2
129	ZNF485
130	SBNO2
131	ZNF215
132	ILK
133	PIN1
134	MTA3
135	ZNF660
136	EXOSC9
137	TARBP1
138	RHOG
139	KCTD1
140	ZNF37A
141	CCNT1
142	ZNF517
143	SFMBT1
144	PRDM10
145	ZNF564
146	ZZZ3
147	ZNF140
148	ZNF711
149	FLI1
150	RNF2
151	MRGBP
152	ZBTB42
153	NRIP1
154	ZBTB4
155	IFT74
156	CDK6
157	VGLL3
158	CIAO1
159	SETBP1
160	TGFBRAP1
161	NCAPG2
162	BTRC
163	ACVR1
164	ZNF571
165	CEBPB
166	CD34
167	SIN3B
168	HIVEP3
169	UFL1
170	PPP2CB
171	DEDD2
172	NOTCH4
173	ZNF853
174	PRRX2
175	MTA2
176	DDR2
177	ZNF205
178	ID1
179	IPPK
180	FKBP4
181	ZNF160
182	DLG1
183	CCPG1
184	PRNP
185	PDGFB
186	ZNF71
187	ZNF441
188	TOB1
189	PHF20
190	ESRRA
191	ZNF582
192	MAP2K5
193	TOPORS
194	RRN3
195	ZNF7
196	MAGED2
197	ZNF214
198	GLI2
199	IL33
200	SLC39A8
201	JAK2
202	ZNF443
203	GMEB2
204	TRAF5
205	ZNF548
206	KLF2
207	SKOR1
208	EPAS1
209	SUB1
210	TCEA1
211	CHEK2
212	SAFB
213	ZNF480
214	NONO
215	CDK17
216	FGF10
217	MAVS
218	SLTM
219	ZNF516
220	MED13L
221	ZNF600
222	AUTS2
223	ZNF148
224	CDK18
225	HNRNPU
226	MID2
227	BAG3
228	ZNF280C
229	USF1
230	NR2F1
231	ZNF799
232	HEXIM2
233	RORA
234	PPARD
235	NIPBL
236	KMT2C
237	SNX5
238	CHD8
239	ELP4
240	FANCD2
241	ZNF75D
242	NIF3L1
243	ARNT2
244	CRY2
245	HSF1
246	ZSCAN32
247	ZNF222
248	ZNF236
249	LTF
250	ZNF639
251	PSIP1
252	TAF11
253	ZNF500
254	MLLT6
255	CALR
256	ZSCAN9
257	STRAP
258	TAF3
259	ZBED1
260	NR1D2
261	MEOX1
262	ZNF653
263	RAI1
264	MAMLD1
265	SAP30BP
266	TESC
267	ZNF302
268	CCNK
269	THAP1
270	MACC1
271	SKI
272	LRP8
273	BATF2
274	ZNF23
275	LIMS1
276	ID3
277	SP2
278	FLNA
279	ZNF561
280	SAP25
281	ZXDA
282	MAZ
283	LITAF
284	SSU72
285	ZKSCAN7
286	ZNF626
287	JAG1
288	REPIN1
289	TIAL1
290	ZNF658
291	ARID2
292	ELF3
293	GABPB2
294	MEOX2
295	PIH1D1
296	MTA1
297	TFE3
298	GABPB1
299	ZHX3
300	OSR2
301	ZBTB7C
302	ZNF782
303	CARF
304	TSTD1
305	TRAK1
306	METTL13
307	MAML1
308	ZNF530
309	MAF
310	GSK3A
311	ZC3H4
312	SAP18
313	ZNF841
314	ZNF518B
315	TSHZ1
316	FBL
317	PAWR
318	CHD4
319	DEAF1
320	PAF1
321	NFXL1
322	NCL
323	TRAIP
324	PCBP2
325	ARNT
326	MAPK3
327	AGO1
328	TXN
329	ZGLP1
330	ACTR5
331	JUND
332	ZNF33B
333	ZBTB46
334	CREB5
335	POLR3G
336	SETD7
337	ZC4H2
338	TSFM
339	DEDD
340	SMARCC2
341	PSEN1
342	ZNF821
343	CTBP2
344	SMARCD1
345	PCID2
346	PEX2
347	PKD1
348	CREG1
349	MED8
350	TCF7L1
351	CAV1
352	ZNF470
353	TFAP4
354	ZNF10
355	ZNF490
356	BCL9
357	SIRT1
358	UBXN7
359	TP53BP2
360	HES6
361	CHCHD2
362	ZBTB1
363	ZNF629
364	ZNF461
365	NDUFA13
366	CCNL2
367	DDIT3
368	ZNF706
369	SREBF1
