,0
0,NSDHL
1,LMO2
2,COX7A1
3,DTX2
4,STARD8
5,XPA
6,JMJD7
7,SHB
8,RASL12
9,TBX3
10,EXOSC8
11,MTMR11
12,PQLC2
13,MTHFSD
14,KPNA5
15,B3GALT6
16,MSANTD4
17,CNNM2
18,TRPV1
19,PSMG3
20,ADAMTS9
21,PLLP
22,ZNF500
23,DNPH1
24,PLXNB3
25,DDX60L
26,TMEM256
27,ARHGEF4
28,SMAD9
29,FBXL6
30,OGG1
31,IFIT5
32,GLCCI1
33,EED
34,ARHGAP19
35,TYRO3
36,RNGTT
37,RPGR
38,HCCS
39,TARBP2
40,SERTAD1
41,HECTD2
42,IFIT3
43,DDX20
44,STON1
45,MAGOH
46,ZNF91
47,ZC3H12A
48,GMPR
49,NPTXR
50,RNF215
51,FBXO33
52,EIF4EBP1
53,ZNF506
54,TGS1
55,NBEA
56,NKD1
57,CEP85L
58,THEM4
59,ABHD17B
60,ZMYM5
61,RBMX2
62,CA11
63,CCDC71L
64,NKAP
65,FLRT2
66,ACOT8
67,SMIM13
68,GALNT18
69,AMDHD2
70,GSKIP
71,RASIP1
72,LRRC28
73,NBPF1
74,AFMID
75,ABCG1
76,TSSC1
77,ZNF398
78,NRN1
79,CCDC59
80,PPM1D
81,SEL1L3
82,POGLUT1
83,C9orf172
84,TTF1
85,UPK3BL
86,SLC37A4
87,TPPP3
88,HINT2
89,RFC2
90,EIF4EBP3
91,KCTD18
92,ZNF195
93,TMEM128
94,LIG4
95,ZNF10
96,PLEKHB1
97,CWF19L2
98,TIMP3
99,SNIP1
100,ABCC9
101,GCFC2
102,RIOK2
103,ZNF414
104,C4orf32
105,MED6
106,UMPS
107,SLC25A17
108,PDGFB
109,LGALS9
110,TEAD2
111,NUDT22
112,SGK3
113,KLHL29
114,CMSS1
115,TCTN1
116,PARD3B
117,MALSU1
118,APIP
119,PCTP
120,KATNA1
121,MAZ
122,ARHGAP24
123,NVL
124,COIL
125,PBDC1
126,FLYWCH2
127,CRMP1
128,DYNC2H1
129,TXNDC12
130,SEMA4A
131,SLC15A3
132,PLCL2
133,SMIM20
134,ZNF407
135,EXTL2
136,AUH
137,MSH2
138,TRAF6
139,UBOX5
140,HACE1
141,TRAPPC13
142,ZNF544
143,ZNF75A
144,KIF3A
145,PEMT
146,AP4M1
147,UTP14A
148,TMEM55A
149,PAM16
150,EMC6
151,ARHGAP18
152,FBXO45
153,FAM45A
154,U2AF1L4
155,TBCC
156,FAM109A
157,INTS9
158,LZIC
159,IKZF4
160,PCDHGC3
161,EBF4
162,PIGL
163,SEMA3G
164,TPRN
165,THEMIS2
166,ERCC6L2
167,FAS
168,FAM76A
169,GCA
170,CNKSR3
171,PPOX
172,KIAA0586
173,BCL7A
174,RCL1
175,SMC4
176,LYVE1
177,ACSL5
178,PYGM
179,RAB3IP
180,MRPL22
181,UST
182,GPN3
183,SH3TC1
184,KCTD11
185,TMEM135
186,CCDC88C
187,FAHD1
188,DZIP1
189,RECQL
190,CSPP1
191,ORAI1
192,SHPK
193,IFI35
194,SFMBT2
195,COX19
196,C8orf59
