,0
0,ZNF831
1,NFE2
2,ABCA4
3,PCDHA11
4,KCNF1
5,TNFRSF8
6,ZBTB37
7,ARHGAP11B
8,KIF5A
9,XPNPEP2
10,PRDM11
11,LTK
12,TSSK3
13,HRC
14,RYR3
15,KLRD1
16,ORM2
17,FABP7
18,GPLD1
19,CHODL
20,ZNF665
21,ZNF683
22,LRRC24
23,RPS6KA6
24,ERMN
25,HSF2BP
26,KIAA1875
27,SULT4A1
28,FCGR3B
29,ACSL6
30,SPDYE6
31,ANKRD36B
32,FANCB
33,TFAP2E
34,ZNF257
35,IGFALS
36,NEU4
37,RXRG
38,IP6K3
39,IGF2BP1
40,GRIN2C
41,ADRB1
42,SLC26A7
43,GNRH1
44,DIO1
45,CNGA1
46,PHACTR3
47,CNTD2
48,GNGT2
49,TGM3
50,TAF1L
51,NRXN1
52,ZCCHC12
53,KLK8
54,SCGB2A1
55,CA14
56,GSDMC
57,DLL3
58,HHLA2
59,JAKMIP1
60,TRPM8
61,THEMIS
62,KLHL4
63,SPOCK3
64,ACTN2
65,GPR84
66,HOXA13
67,SLC22A18AS
68,RUNX1T1
69,NEFM
70,ZYG11A
71,HELB
