"","x"
"1","OR4F5"
"2","OR4F29"
"3","OR4F16"
"4","SAMD11"
"5","NOC2L"
"6","KLHL17"
"7","PLEKHN1"
"8","PERM1"
"9","HES4"
"10","ISG15"
"11","AGRN"
"12","RNF223"
"13","C1orf159"
"14","TTLL10"
"15","TNFRSF18"
"16","TNFRSF4"
"17","SDF4"
"18","B3GALT6"
"19","UBE2J2"
"20","SCNN1D"
"21","ACAP3"
"22","PUSL1"
"23","CPTP"
"24","TAS1R3"
"25","DVL1"
"26","MXRA8"
"27","AURKAIP1"
"28","CCNL2"
"29","MRPL20"
"30","ANKRD65"
"31","TMEM88B"
"32","VWA1"
"33","ATAD3C"
"34","ATAD3B"
"35","ATAD3A"
"36","TMEM240"
"37","SSU72"
"38","MIB2"
"39","MMP23B"
"40","CDK11B"
"41","SLC35E2B"
"42","CDK11A"
"43","SLC35E2"
"44","NADK"
"45","GNB1"
"46","CALML6"
"47","TMEM52"
"48","GABRD"
"49","PRKCZ"
"50","SKI"
"51","MORN1"
"52","RER1"
"53","PEX10"
"54","PLCH2"
"55","PANK4"
"56","HES5"
"57","TNFRSF14"
"58","FAM213B"
"59","MMEL1"
"60","TTC34"
"61","PRDM16"
"62","ARHGEF16"
"63","MEGF6"
"64","TPRG1L"
"65","WRAP73"
"66","TP73"
"67","CCDC27"
"68","SMIM1"
"69","LRRC47"
"70","CEP104"
"71","DFFB"
"72","C1orf174"
"73","AJAP1"
"74","NPHP4"
"75","KCNAB2"
"76","CHD5"
"77","RPL22"
"78","RNF207"
"79","ICMT"
"80","GPR153"
"81","ACOT7"
"82","HES2"
"83","ESPN"
"84","TNFRSF25"
"85","PLEKHG5"
"86","NOL9"
"87","TAS1R1"
"88","ZBTB48"
"89","KLHL21"
"90","PHF13"
"91","THAP3"
"92","DNAJC11"
"93","CAMTA1"
"94","VAMP3"
"95","PER3"
"96","UTS2"
"97","TNFRSF9"
"98","PARK7"
"99","ERRFI1"
"100","SLC45A1"
"101","RERE"
"102","ENO1"
"103","CA6"
"104","SLC2A5"
"105","GPR157"
"106","H6PD"
"107","SPSB1"
"108","SLC25A33"
"109","TMEM201"
"110","PIK3CD"
"111","CLSTN1"
"112","CTNNBIP1"
"113","LZIC"
"114","NMNAT1"
"115","RBP7"
"116","UBE4B"
"117","KIF1B"
"118","PGD"
"119","CORT"
"120","DFFA"
"121","PEX14"
"122","CASZ1"
"123","C1orf127"
"124","TARDBP"
"125","MASP2"
"126","SRM"
"127","EXOSC10"
"128","MTOR"
"129","ANGPTL7"
"130","UBIAD1"
"131","FBXO2"
"132","FBXO44"
"133","FBXO6"
"134","MAD2L2"
"135","DRAXIN"
"136","AGTRAP"
"137","C1orf167"
"138","MTHFR"
"139","CLCN6"
"140","NPPA"
"141","NPPB"
"142","KIAA2013"
"143","PLOD1"
"144","MFN2"
"145","MIIP"
"146","TNFRSF8"
"147","TNFRSF1B"
"148","VPS13D"
"149","DHRS3"
"150","AADACL4"
"151","HNRNPCL1"
"152","LRRC38"
"153","PDPN"
"154","PRDM2"
"155","KAZN"
"156","TMEM51"
"157","FHAD1"
"158","EFHD2"
"159","CTRC"
"160","CELA2A"
"161","CELA2B"
"162","CASP9"
"163","DNAJC16"
"164","AGMAT"
"165","DDI2"
"166","PLEKHM2"
"167","SLC25A34"
"168","FBLIM1"
"169","UQCRHL"
"170","SPEN"
"171","ZBTB17"
"172","C1orf64"
"173","HSPB7"
"174","CLCNKA"
"175","CLCNKB"
"176","FAM131C"
"177","EPHA2"
"178","ARHGEF19"
"179","RSG1"
"180","FBXO42"
"181","SZRD1"
"182","SPATA21"
"183","NECAP2"
"184","NBPF1"
"185","CROCC"
"186","MFAP2"
"187","ATP13A2"
"188","SDHB"
"189","PADI2"
"190","PADI1"
"191","PADI4"
"192","RCC2"
"193","ARHGEF10L"
"194","IGSF21"
"195","KLHDC7A"
"196","PAX7"
"197","ALDH4A1"
"198","IFFO2"
"199","UBR4"
"200","EMC1"
"201","MRTO4"
"202","AKR7A3"
"203","AKR7A2"
"204","PQLC2"
"205","CAPZB"
"206","MINOS1"
"207","NBL1"
"208","HTR6"
"209","TMCO4"
"210","OTUD3"
"211","PLA2G2A"
"212","PLA2G5"
"213","PLA2G2D"
"214","PLA2G2F"
"215","PLA2G2C"
"216","UBXN10"
"217","VWA5B1"
"218","CAMK2N1"
"219","MUL1"
"220","FAM43B"
"221","CDA"
"222","PINK1"
"223","DDOST"
"224","KIF17"
"225","SH2D5"
"226","HP1BP3"
"227","EIF4G3"
"228","ECE1"
"229","NBPF3"
"230","ALPL"
"231","RAP1GAP"
"232","USP48"
"233","LDLRAD2"
"234","HSPG2"
"235","CELA3B"
"236","CELA3A"
"237","CDC42"
"238","WNT4"
"239","ZBTB40"
"240","EPHA8"
"241","C1QA"
"242","C1QC"
"243","C1QB"
"244","EPHB2"
"245","C1orf234"
"246","KDM1A"
"247","LUZP1"
"248","HTR1D"
"249","HNRNPR"
"250","ZNF436"
"251","TCEA3"
"252","ASAP3"
"253","E2F2"
"254","ID3"
"255","MDS2"
"256","RPL11"
"257","PITHD1"
"258","LYPLA2"
"259","GALE"
"260","HMGCL"
"261","FUCA1"
"262","CNR2"
"263","PNRC2"
"264","SRSF10"
"265","MYOM3"
"266","IL22RA1"
"267","IFNLR1"
"268","GRHL3"
"269","STPG1"
"270","NIPAL3"
"271","RCAN3"
"272","NCMAP"
"273","SRRM1"
"274","CLIC4"
"275","RUNX3"
"276","SYF2"
"277","RSRP1"
"278","RHD"
"279","TMEM50A"
"280","RHCE"
"281","TMEM57"
"282","LDLRAP1"
"283","MAN1C1"
"284","MTFR1L"
"285","AUNIP"
"286","PAQR7"
"287","STMN1"
"288","PAFAH2"
"289","EXTL1"
"290","SLC30A2"
"291","TRIM63"
"292","PDIK1L"
"293","FAM110D"
"294","CNKSR1"
"295","CATSPER4"
"296","CEP85"
"297","SH3BGRL3"
"298","UBXN11"
"299","CD52"
"300","AIM1L"
"301","ZNF683"
"302","LIN28A"
"303","DHDDS"
"304","HMGN2"
"305","RPS6KA1"
"306","ARID1A"
"307","PIGV"
"308","ZDHHC18"
"309","SFN"
"310","GPN2"
"311","GPATCH3"
"312","NUDC"
"313","NR0B2"
"314","KDF1"
"315","TRNP1"
"316","FAM46B"
"317","SLC9A1"
"318","WDTC1"
"319","TMEM222"
"320","SYTL1"
"321","MAP3K6"
"322","FCN3"
"323","CD164L2"
"324","GPR3"
"325","WASF2"
"326","AHDC1"
"327","FGR"
"328","IFI6"
"329","FAM76A"
"330","STX12"
"331","PPP1R8"
"332","THEMIS2"
"333","RPA2"
"334","SMPDL3B"
"335","XKR8"
"336","EYA3"
"337","PTAFR"
"338","DNAJC8"
"339","ATPIF1"
"340","SESN2"
"341","MED18"
"342","PHACTR4"
"343","RCC1"
"344","TRNAU1AP"
"345","TAF12"
"346","RAB42"
"347","GMEB1"
"348","YTHDF2"
"349","OPRD1"
"350","EPB41"
"351","TMEM200B"
"352","SRSF4"
"353","MECR"
"354","PTPRU"
"355","MATN1"
"356","LAPTM5"
"357","SDC3"
"358","PUM1"
"359","NKAIN1"
"360","SNRNP40"
"361","ZCCHC17"
"362","FABP3"
"363","SERINC2"
"364","TINAGL1"
"365","HCRTR1"
"366","PEF1"
"367","COL16A1"
"368","SPOCD1"
"369","PTP4A2"
"370","KHDRBS1"
"371","TMEM39B"
"372","KPNA6"
"373","TXLNA"
"374","CCDC28B"
"375","IQCC"
"376","DCDC2B"
"377","TMEM234"
"378","EIF3I"
"379","FAM167B"
"380","LCK"
"381","HDAC1"
"382","MARCKSL1"
"383","TSSK3"
"384","FAM229A"
"385","BSDC1"
"386","ZBTB8B"
"387","ZBTB8A"
"388","ZBTB8OS"
"389","RBBP4"
"390","SYNC"
"391","KIAA1522"
"392","YARS"
"393","S100PBP"
"394","FNDC5"
"395","HPCA"
"396","TMEM54"
"397","RNF19B"
"398","AK2"
"399","AZIN2"
"400","TRIM62"
"401","ZNF362"
"402","A3GALT2"
"403","PHC2"
"404","ZSCAN20"
"405","CSMD2"
"406","C1orf94"
"407","SMIM12"
"408","GJB5"
"409","GJB4"
"410","GJB3"
"411","GJA4"
"412","DLGAP3"
"413","ZMYM6"
"414","ZMYM1"
"415","SFPQ"
"416","ZMYM4"
"417","KIAA0319L"
"418","NCDN"
"419","TFAP2E"
"420","PSMB2"
"421","C1orf216"
"422","CLSPN"
"423","AGO4"
"424","AGO1"
"425","AGO3"
"426","TEKT2"
"427","ADPRHL2"
"428","COL8A2"
"429","TRAPPC3"
"430","MAP7D1"
"431","THRAP3"
"432","SH3D21"
"433","EVA1B"
"434","STK40"
"435","LSM10"
"436","OSCP1"
"437","MRPS15"
"438","CSF3R"
"439","GRIK3"
"440","ZC3H12A"
"441","MEAF6"
"442","SNIP1"
"443","DNALI1"
"444","GNL2"
"445","RSPO1"
"446","C1orf109"
"447","CDCA8"
"448","EPHA10"
"449","MANEAL"
"450","YRDC"
"451","C1orf122"
"452","MTF1"
"453","INPP5B"
"454","SF3A3"
"455","FHL3"
"456","POU3F1"
"457","RRAGC"
"458","MYCBP"
"459","GJA9"
"460","RHBDL2"
"461","AKIRIN1"
"462","NDUFS5"
"463","MACF1"
"464","BMP8A"
"465","PABPC4"
"466","HEYL"
"467","NT5C1A"
"468","HPCAL4"
"469","PPIE"
"470","BMP8B"
"471","OXCT2"
"472","TRIT1"
"473","MYCL"
"474","MFSD2A"
"475","CAP1"
"476","PPT1"
"477","RLF"
"478","ZMPSTE24"
"479","COL9A2"
"480","SMAP2"
"481","ZFP69B"
"482","ZFP69"
"483","EXO5"
"484","ZNF684"
"485","RIMS3"
"486","NFYC"
"487","KCNQ4"
"488","CITED4"
"489","CTPS1"
"490","SLFNL1"
"491","SCMH1"
"492","FOXO6"
"493","EDN2"
"494","HIVEP3"
"495","FOXJ3"
"496","RIMKLA"
"497","ZMYND12"
"498","PPCS"
"499","CCDC30"
"500","PPIH"
"501","YBX1"
"502","CLDN19"
"503","C1orf50"
"504","ERMAP"
"505","ZNF691"
"506","SLC2A1"
"507","FAM183A"
"508","EBNA1BP2"
"509","CFAP57"
"510","TMEM125"
"511","C1orf210"
"512","TIE1"
"513","MPL"
"514","CDC20"
"515","ELOVL1"
"516","MED8"
"517","SZT2"
"518","PTPRF"
"519","KDM4A"
"520","ST3GAL3"
"521","ARTN"
"522","IPO13"
"523","DPH2"
"524","ATP6V0B"
"525","B4GALT2"
"526","CCDC24"
"527","SLC6A9"
"528","KLF17"
"529","DMAP1"
"530","ERI3"
"531","RNF220"
"532","TMEM53"
"533","C1orf228"
"534","KIF2C"
"535","RPS8"
"536","BEST4"
"537","PLK3"
"538","TCTEX1D4"
"539","BTBD19"
"540","PTCH2"
"541","EIF2B3"
"542","HECTD3"
"543","UROD"
"544","ZSWIM5"
"545","HPDL"
"546","MUTYH"
"547","TOE1"
"548","TESK2"
"549","MMACHC"
"550","PRDX1"
"551","AKR1A1"
"552","NASP"
"553","CCDC17"
"554","GPBP1L1"
"555","TMEM69"
"556","IPP"
"557","MAST2"
"558","PIK3R3"
"559","TSPAN1"
"560","POMGNT1"
"561","LURAP1"
"562","RAD54L"
"563","LRRC41"
"564","UQCRH"
"565","NSUN4"
"566","FAAH"
"567","MKNK1"
"568","MOB3C"
"569","ATPAF1"
"570","TEX38"
"571","EFCAB14"
"572","CYP4B1"
"573","CYP4A11"
"574","CYP4X1"
"575","CYP4Z1"
"576","CYP4A22"
"577","PDZK1IP1"
"578","TAL1"
"579","STIL"
"580","CMPK1"
"581","FOXE3"
"582","FOXD2"
"583","TRABD2B"
"584","SLC5A9"
"585","SPATA6"
"586","AGBL4"
"587","BEND5"
"588","ELAVL4"
"589","DMRTA2"
"590","FAF1"
"591","CDKN2C"
"592","RNF11"
"593","TTC39A"
"594","EPS15"
"595","OSBPL9"
"596","RAB3B"
"597","TXNDC12"
"598","KTI12"
"599","BTF3L4"
"600","ZFYVE9"
"601","CC2D1B"
"602","ORC1"
"603","PRPF38A"
"604","ZCCHC11"
"605","GPX7"
"606","FAM159A"
"607","COA7"
"608","ZYG11B"
"609","ZYG11A"
"610","ECHDC2"
"611","SCP2"
"612","PODN"
"613","SLC1A7"
"614","CPT2"
"615","C1orf123"
"616","MAGOH"
"617","LRP8"
"618","GLIS1"
"619","NDC1"
"620","YIPF1"
"621","DIO1"
"622","HSPB11"
"623","LRRC42"
"624","TMEM59"
"625","TCEANC2"
"626","CDCP2"
"627","CYB5RL"
"628","MRPL37"
"629","SSBP3"
"630","ACOT11"
"631","FAM151A"
"632","MROH7"
"633","TTC4"
"634","PARS2"
"635","TTC22"
"636","DHCR24"
"637","TMEM61"
"638","BSND"
"639","PCSK9"
"640","USP24"
"641","PRKAA2"
"642","C1orf168"
"643","DAB1"
"644","OMA1"
"645","TACSTD2"
"646","MYSM1"
"647","JUN"
"648","FGGY"
"649","HOOK1"
"650","CYP2J2"
"651","C1orf87"
"652","NFIA"
"653","TM2D1"
"654","L1TD1"
"655","KANK4"
"656","USP1"
"657","DOCK7"
"658","ANGPTL3"
"659","ATG4C"
"660","FOXD3"
"661","ALG6"
"662","ITGB3BP"
"663","EFCAB7"
"664","PGM1"
"665","ROR1"
"666","CACHD1"
"667","RAVER2"
"668","JAK1"
"669","AK4"
"670","DNAJC6"
"671","LEPROT"
"672","LEPR"
"673","PDE4B"
"674","SGIP1"
"675","TCTEX1D1"
"676","WDR78"
"677","MIER1"
"678","SLC35D1"
"679","IL12RB2"
"680","SERBP1"
"681","GADD45A"
"682","GNG12"
"683","DIRAS3"
"684","WLS"
"685","RPE65"
"686","DEPDC1"
"687","LRRC7"
"688","LRRC40"
"689","SRSF11"
"690","ANKRD13C"
"691","HHLA3"
"692","CTH"
"693","PTGER3"
"694","ZRANB2"
"695","NEGR1"
"696","LRRIQ3"
"697","FPGT"
"698","TNNI3K"
"699","LRRC53"
"700","ERICH3"
"701","CRYZ"
"702","TYW3"
"703","SLC44A5"
"704","ACADM"
"705","RABGGTB"
"706","MSH4"
"707","ST6GALNAC3"
"708","ST6GALNAC5"
"709","PIGK"
"710","AK5"
"711","ZZZ3"
"712","USP33"
"713","NEXN"
"714","FUBP1"
"715","DNAJB4"
"716","GIPC2"
"717","PTGFR"
"718","IFI44L"
"719","IFI44"
"720","TTLL7"
"721","PRKACB"
"722","SAMD13"
"723","DNASE2B"
"724","RPF1"
"725","GNG5"
"726","CTBS"
"727","SSX2IP"
"728","LPAR3"
"729","MCOLN2"
"730","WDR63"
"731","MCOLN3"
"732","SYDE2"
"733","C1orf52"
"734","BCL10"
"735","DDAH1"
"736","CYR61"
"737","ZNHIT6"
"738","COL24A1"
"739","ODF2L"
"740","CLCA2"
"741","CLCA1"
"742","CLCA4"
"743","SH3GLB1"
"744","HS2ST1"
"745","LMO4"
"746","PKN2"
"747","GTF2B"
"748","RBMXL1"
"749","GBP3"
"750","GBP1"
"751","GBP2"
"752","GBP7"
"753","GBP4"
"754","GBP5"
"755","GBP6"
"756","LRRC8B"
"757","LRRC8C"
"758","LRRC8D"
"759","ZNF326"
"760","ZNF644"
"761","HFM1"
"762","CDC7"
"763","TGFBR3"
"764","BRDT"
"765","EPHX4"
"766","SETSIP"
"767","BTBD8"
"768","KIAA1107"
"769","C1orf146"
"770","GLMN"
"771","RPAP2"
"772","GFI1"
"773","EVI5"
"774","RPL5"
"775","FAM69A"
"776","MTF2"
"777","TMED5"
"778","CCDC18"
"779","DR1"
"780","FNBP1L"
"781","BCAR3"
"782","DNTTIP2"
"783","GCLM"
"784","ABCA4"
"785","ARHGAP29"
"786","ABCD3"
"787","F3"
"788","SLC44A3"
"789","CNN3"
"790","ALG14"
"791","TMEM56"
"792","RWDD3"
"793","PTBP2"
"794","DPYD"
"795","SNX7"
"796","PALMD"
"797","FRRS1"
"798","AGL"
"799","SLC35A3"
"800","SASS6"
"801","TRMT13"
"802","LRRC39"
"803","DBT"
"804","RTCA"
"805","CDC14A"
"806","GPR88"
"807","VCAM1"
"808","EXTL2"
"809","SLC30A7"
"810","DPH5"
"811","S1PR1"
"812","OLFM3"
"813","COL11A1"
"814","RNPC3"
"815","AMY2B"
"816","AMY2A"
"817","AMY1B"
"818","PRMT6"
"819","NTNG1"
"820","VAV3"
"821","SLC25A24"
"822","FAM102B"
"823","HENMT1"
"824","PRPF38B"
"825","FNDC7"
"826","STXBP3"
"827","AKNAD1"
"828","GPSM2"
"829","CLCC1"
"830","WDR47"
"831","TAF13"
"832","TMEM167B"
"833","C1orf194"
"834","KIAA1324"
"835","SARS"
"836","CELSR2"
"837","PSRC1"
"838","MYBPHL"
"839","SORT1"
"840","PSMA5"
"841","SYPL2"
"842","ATXN7L2"
"843","CYB561D1"
"844","AMIGO1"
"845","GPR61"
"846","GNAI3"
"847","AMPD2"
"848","GSTM4"
"849","GSTM2"
"850","GSTM1"
"851","GSTM5"
"852","GSTM3"
"853","EPS8L3"
"854","CSF1"
"855","AHCYL1"
"856","STRIP1"
"857","UBL4B"
"858","SLC6A17"
"859","KCNC4"
"860","RBM15"
"861","SLC16A4"
"862","LAMTOR5"
"863","PROK1"
"864","KCNA2"
"865","KCNA3"
"866","CD53"
"867","LRIF1"
"868","DRAM2"
"869","CEPT1"
"870","DENND2D"
"871","CHI3L2"
"872","PIFO"
"873","OVGP1"
"874","WDR77"
"875","ATP5F1"
"876","C1orf162"
"877","ADORA3"
"878","RAP1A"
"879","FAM212B"
"880","DDX20"
"881","KCND3"
"882","CTTNBP2NL"
"883","WNT2B"
"884","ST7L"
"885","CAPZA1"
"886","MOV10"
"887","RHOC"
"888","PPM1J"
"889","FAM19A3"
"890","SLC16A1"
"891","LRIG2"
"892","MAGI3"
"893","PHTF1"
"894","RSBN1"
"895","PTPN22"
"896","BCL2L15"
"897","AP4B1"
"898","DCLRE1B"
"899","HIPK1"
"900","OLFML3"
"901","SYT6"
"902","TRIM33"
"903","BCAS2"
"904","DENND2C"
"905","AMPD1"
"906","NRAS"
"907","CSDE1"
"908","SIKE1"
"909","TSHB"
"910","TSPAN2"
"911","NGF"
"912","VANGL1"
"913","CASQ2"
"914","NHLH2"
"915","SLC22A15"
"916","MAB21L3"
"917","ATP1A1"
"918","CD58"
"919","IGSF3"
"920","CD2"
"921","PTGFRN"
"922","CD101"
"923","TTF2"
"924","TRIM45"
"925","VTCN1"
"926","MAN1A2"
"927","FAM46C"
"928","GDAP2"
"929","WDR3"
"930","SPAG17"
"931","TBX15"
"932","WARS2"
"933","HAO2"
"934","HSD3B2"
"935","ZNF697"
"936","PHGDH"
"937","HMGCS2"
"938","NOTCH2"
"939","SEC22B"
"940","NBPF8"
"941","NBPF26"
"942","FCGR1B"
"943","FAM72B"
"944","SRGAP2C"
"945","HIST2H3PS2"
"946","FAM72C"
"947","NBPF15"
"948","SRGAP2B"
"949","FAM72D"
"950","PPIAL4D"
"951","GPR89A"
"952","PDZK1"
"953","CD160"
"954","RNF115"
"955","POLR3C"
"956","NUDT17"
"957","PIAS3"
"958","ANKRD35"
"959","ITGA10"
"960","PEX11B"
"961","RBM8A"
"962","LIX1L"
"963","ANKRD34A"
"964","POLR3GL"
"965","TXNIP"
"966","HFE2"
"967","NBPF10"
"968","NOTCH2NL"
"969","NBPF12"
"970","PRKAB2"
"971","FMO5"
"972","CHD1L"
"973","BCL9"
"974","ACP6"
"975","GJA5"
"976","GPR89B"
"977","NBPF11"
"978","PDE4DIP"
"979","NBPF9"
"980","NBPF19"
"981","FCGR1A"
"982","HIST2H2BF"
"983","HIST2H3D"
"984","HIST2H4A"
"985","HIST2H2AA3"
"986","HIST2H2BE"
"987","HIST2H2AC"
"988","HIST2H2AB"
"989","BOLA1"
"990","SV2A"
"991","SF3B4"
"992","MTMR11"
"993","OTUD7B"
"994","VPS45"
"995","PLEKHO1"
"996","ANP32E"
"997","CA14"
"998","APH1A"
"999","C1orf54"
"1000","CIART"
"1001","MRPS21"
"1002","PRPF3"
"1003","RPRD2"
"1004","TARS2"
"1005","ECM1"
"1006","ADAMTSL4"
"1007","MCL1"
"1008","ENSA"
"1009","GOLPH3L"
"1010","HORMAD1"
"1011","CTSS"
"1012","CTSK"
"1013","ARNT"
"1014","SETDB1"
"1015","CERS2"
"1016","ANXA9"
"1017","BNIPL"
"1018","C1orf56"
"1019","CDC42SE1"
"1020","MLLT11"
"1021","GABPB2"
"1022","SEMA6C"
"1023","TNFAIP8L2"
"1024","LYSMD1"
"1025","SCNM1"
"1026","TMOD4"
"1027","VPS72"
"1028","PIP5K1A"
"1029","PSMD4"
