name,val
DEFB130,0.00024460317
VAMP7,0.0008768062
MIR5691,0.0010133563
MIR548AJ2,0.0012109207
RP11-529A4.16,0.0013655787
RNU6-248P,0.0017495733
MIR146B,0.0020122097
MIR3667,0.0028906052
RNU6-1052P,0.0033288612
RNA5SP331,0.003501746
RP11-536C10.16,0.003653201
RNA5SP410,0.0043824255
U8,0.005099947
RN7SKP135,0.005364188
RNU6-1113P,0.0054861503
RP11-806N19.2,0.005808729
MIR582,0.005817057
CTD-2054H24.1,0.005947752
Y_RNA,0.0061487705
MIR5092,0.006441493
LA16c-17H1.3,0.006676354
MTND4LP10,0.006756875
MYCLP2,0.0068839286
RNA5SP138,0.007462855
MTND3P20,0.007938968
RNU6ATAC32P,0.008377962
PPP1R1AP2,0.008483807
CTD-2140G10.4,0.008766085
RNA5SP509,0.009604805
RP11-421N10.1,0.010892929
ISCUP1,0.01160121
RNU1-119P,0.014202103
CDK4P1,0.014204102
AC011901.2,0.014440362
MTND3P22,0.015528176
MIR548AE1,0.016749768
CTD-2206N4.1,0.01794439
RP11-379J13.1,0.018945953
MIR601,0.019045636
MIR532,0.019169217
RNU6-359P,0.020730603
RP11-734K21.4,0.020961862
RNU4-75P,0.021724679
ELOCP23,0.022602392
RNU6-352P,0.024191957
RP11-777B9.4,0.02461333
RNA5SP482,0.025861885
AC004869.3,0.02625073
RP11-401F2.2,0.026587944
MIR4714,0.027738033
DUX4L17,0.027866803
RP11-11A5.1,0.028931886
RP11-505P4.5,0.029010022
SNORD74,0.031100143
RP11-252O18.3,0.031273406
MTND6P8,0.03150955
OR8B1P,0.031568754
RNU6-27P,0.03168303
RP11-100M12.3,0.03180477
RP11-736G13.1,0.03183778
Y_RNA,0.03193166
RP11-449O16.2,0.032641772
MTRNR2L9,0.03367562
MIR6069,0.038405865
RNU2-35P,0.038680036
BPY2DP,0.0390025
RNU6-571P,0.03985612
TRMT112P7,0.041759416
UQCRC2P1,0.042759515
EIF5P2,0.042798445
RP11-500G9.1,0.043133583
RP11-168J19.2,0.04464899
FAM90A22P,0.048067607
RP11-4F22.3,0.048623327
Y_RNA,0.050598126
RNU6-23P,0.051024586
SLC4A1APP2,0.051653937
MIR6808,0.051894657
RP11-625B21.1,0.054266244
ATP5J2P3,0.05444976
AC097532.2,0.054693293
CTD-2128A3.3,0.05506967
RPS23P5,0.055201057
LUZP4P1,0.056179013
RP11-706O15.8,0.056660883
RPS11P1,0.05668204
MTCO3P31,0.057144735
NFYAP1,0.057144765
MIR4298,0.05789979
HNRNPRP2,0.058451504
RP11-319C21.1,0.05949293
RNU6-690P,0.05960062
TRAV33,0.059733123
Y_RNA,0.05998141
RNA5SP481,0.060236897
MTND2P29,0.060736123
TRAJ1,0.061311666
RP11-96O20.2,0.061713077
PHBP10,0.062641524
MIR3692,0.06330144
Y_RNA,0.0656537
TYMSP1,0.06631886
LINC00555,0.06668173
AC018359.3,0.06768032
RP11-108M9.1,0.0693629
RP11-359P18.5,0.069828
RP1-85D24.3,0.07021252
RP11-103C3.2,0.070765465
RPL3P8,0.07092344
U6,0.07280704
RP11-536C10.7,0.07333082
Y_RNA,0.07347853
RP11-244H18.1,0.0742735
ZP4,0.075789884
RP11-690C23.3,0.077386916
MEMO1P5,0.07819225
MIR1197,0.07821839
CDY15P,0.078948304
RP4-813F11.3,0.08040415
MIR369,0.08040458
SLC20A1P3,0.08076576
RNA5SP142,0.08140431
MTCYBP5,0.08289872
RP11-143A12.1,0.083266824
PRELID3BP8,0.08389269
ZNF735,0.08393001
RNU6-1094P,0.08539663
AP000358.5,0.08564904
OR4A13P,0.08660549
MIR383,0.08763405
RP11-1113C11.2,0.08918351
Metazoa_SRP,0.09034505
PRR13P4,0.091834635
RP11-344A7.1,0.09304544
OR4F6,0.09343309
Y_RNA,0.095382184
OR6N1,0.09635266
RN7SL804P,0.09987226
RNU6-295P,0.09996631
RP11-488C13.4,0.10110884
RP1-225L15.1,0.10168662
RNU7-52P,0.10189618
IGKV1OR2-3,0.10243257
RP11-2L4.1,0.10321144
RP4-576H24.5,0.10576006
RP6-166C19.12,0.10599503
UBQLN1P1,0.10643834
Y_RNA,0.10874129
MIR1246,0.109077156
RNU6-136P,0.10918674
RNU1-101P,0.11123266
RP11-314B1.1,0.11165026
MIR6882,0.112094745
AC074019.1,0.11351774
RP11-266E6.3,0.11444251
MIR4498,0.114805855
MIR4646,0.11568219
MIR3941,0.115796365
RNU6-860P,0.116369516
LL22NC03-88E1.18,0.11677236
RP11-170L3.6,0.11683256
NPM1P11,0.11705338
HNRNPH1P2,0.1179907
Y_RNA,0.11910116
RP11-490P13.2,0.120104566
RP11-356O22.4,0.12209716
RBMY2JP,0.12236637
RP11-101E5.2,0.12264639
TRAJ6,0.1238815
CTD-2313J17.3,0.124026015
Y_RNA,0.124396294
RP11-617O8.1,0.124444164
MIR8076,0.12746988
RP11-366L20.3,0.12931046
OR8A1,0.12942049
TMEM207,0.12997988
RP11-927P21.8,0.1320188
LINC00266-3,0.13270596
RNU6-617P,0.13305764
MIR4284,0.13367218
RNU6-262P,0.13380818
RP11-1236K1.1,0.13418224
RP11-137P24.5,0.13418837
MIR3975,0.13454662
VCY1B,0.13458505
MIR8061,0.13460508
MIR4271,0.13523905
5S_rRNA,0.13537885
LINC00382,0.13622569
RPL7P31,0.13721693
Y_RNA,0.13789903
RNU6-228P,0.13790476
POTEA,0.13833436
MTCO3P23,0.14041027
TRBV1,0.1413505
CTD-2544M6.1,0.14611152
RP11-1046B16.1,0.1465792
TXNP1,0.1467977
KLF8P1,0.14883192
RNU6-995P,0.14919803
RPL17P35,0.14955294
MIR7153,0.15010767
RP11-340I6.1,0.15150857
RP11-57G22.1,0.15169565
IGKV1OR9-2,0.15210782
RN7SKP247,0.1526814
LINC01712,0.15340845
Y_RNA,0.15343542
AC096775.2,0.15368925
HMGB3P18,0.1539235
AC027612.3,0.15459593
Y_RNA,0.1567527
RP11-300J18.2,0.15715776
AL353662.1,0.15777081
RP11-244H18.3,0.15846004
MIR4540,0.15873462
RP11-583F24.3,0.15913065
OR51F5P,0.1603411
RP11-158A14.1,0.1614737
AC005722.4,0.16334538
MGAT2P2,0.16334686
RNA5SP218,0.16572349
MIR24-2,0.16604626
RNU6-706P,0.16613597
MIR1266,0.16716346
MIR150,0.16744316
RP5-859M6.1,0.1679354
FCF1P6,0.1679653
IGHD1-14,0.1681596
RP1-144C9.2,0.16831091
RP4-560B9.4,0.1709508
RP3-323B6.1,0.17198299
RP1-149M18.3,0.1738992
MTND4LP16,0.1746155
OR10C1,0.17464826
MIR5583-2,0.17695162
U3,0.17750168
RP11-239C9.1,0.17766583
RP11-731C17.1,0.17871408
RP5-1128N12.3,0.17955808
RP11-814M22.2,0.1800357
snoZ6,0.18078026
CTD-2501O3.2,0.18224673
DEFB129,0.18339916
RP11-206P5.1,0.18461064
RP11-168L7.3,0.18601407
RP11-796I2.1,0.18613417
AP001059.7,0.18704067
EIF4A1P11,0.18954353
MIR4270,0.19173852
RNU6-642P,0.19207002
RNA5SP72,0.19242908
RP11-438O11.1,0.19376218
LINC00557,0.19442786
RP11-118K6.2,0.19500695
RP11-415A20.1,0.19570689
RP11-536C10.2,0.19652303
MTND6P6,0.19790924
OR7E130P,0.19828928
AC013733.4,0.19892222
RP11-787D18.1,0.1995367
SNORA25,0.19977896
CCNB3P1,0.20032011
AC092646.1,0.2021508
RP4-581O6.1,0.20281841
SNORA40,0.20291054
RP11-13E5.2,0.20521723
RP11-570L14.1,0.20595108
SSR1P1,0.2063543
CTD-2028E8.2,0.20685929
RNU7-156P,0.20708391
RP11-486M3.3,0.20801899
RP11-90D11.1,0.21009538
RNU4-90P,0.2107706
RP5-968D22.1,0.21092544
MIR7-2,0.21163626
AL132640.1,0.21219185
RP11-347D21.2,0.21282518
RP11-373J21.1,0.21383429
RP11-281J9.1,0.21396591
AP000797.3,0.21417142
MIR516A1,0.21498778
LINC01766,0.2155524
RN7SKP147,0.21563822
RAP1BP2,0.21565592
AC017053.1,0.21571152
OR2AM1P,0.21597037
DUX4L16,0.21721555
AC092687.4,0.21892166
Y_RNA,0.22034481
RP6-166C19.19,0.2207499
ELSPBP1,0.220831
RNU6-983P,0.22113378
RNA5SP519,0.22189845
Y_RNA,0.22196098
RP11-309N24.1,0.22264479
AC073987.2,0.2236528
AC093166.3,0.22817801
RPL34P1,0.22934516
AP005530.2,0.23077253
RP4-614C10.3,0.23299824
PGGT1BP2,0.23302123
AC097499.2,0.23318878
RP11-497G19.2,0.23389699
RP11-92K15.1,0.2343148
MED15P9,0.23712784
LINC02141,0.2377862
MIR4496,0.23798907
Y_RNA,0.23830058
HNRNPA3P4,0.2387768
RPL36P20,0.23957404
XKRYP6,0.24104904
