	names
0	TAF5L
1	IL18
2	TFCP2
3	PHF1
4	ZNF91
5	ASCL1
6	PPP2R1A
7	PBX1
8	NDN
9	CIR1
10	IER5
11	MAP2K3
12	HDAC11
13	SUFU
14	MAK
15	ZNF584
16	IL1RAP
17	TCF7
18	ZSCAN2
19	HMGN3
20	POU3F1
21	KMT2B
22	GLI4
23	ZNF22
24	ETS1
25	ZNF8
26	CDKN1B
27	ADNP
28	CHCHD2
29	USP21
30	STK36
31	ZNF484
32	TRIM26
33	RNF31
34	ZMYND8
35	LEF1
36	ZFP30
37	ZNF181
38	ARHGEF2
39	SCML2
40	AR
41	SIN3A
42	CARD11
43	TRIM27
44	HBP1
45	HINFP
46	ZBED6
47	SNAI2
48	SMARCC2
49	ZNF226
50	BBS4
51	BCL10
52	YBX3
53	LUM
54	TBX1
55	N4BP2L2
56	HAMP
57	CCND3
58	MEOX2
59	HEXIM2
60	ZNF443
61	SIRT6
62	SIX1
63	INTS1
64	TGFB2
65	GOLGB1
66	PCGF5
67	HOXA7
68	XRCC5
69	ZNF155
70	STAT2
71	NFAT5
72	CARM1
73	S100A8
74	BTG2
75	RLIM
76	PURA
77	SRSF10
78	KLF10
79	SS18L2
80	PSEN1
81	PRDM5
82	ADRB2
83	ELL
84	POLR3F
85	MORF4L1
86	TRO
87	SCAF8
88	HIPK2
89	CAPN3
90	MRPL12
91	SMYD2
92	SETD7
93	USP11
94	ARHGEF11
95	ELF1
96	TRIM44
97	PRDM10
98	USP7
99	SPIN4
100	PAXBP1
101	WWC3
102	ZNF662
103	ZNF492
104	ZFP64
105	RFX5
106	ZNF81
107	AJUBA
108	TFRC
109	NFYB
110	POU5F1B
111	RIPK2
112	STRN3
113	MAMLD1
114	ZNF202
115	ITGA6
116	RERG
117	ZBTB42
118	MEIS3
119	SMAD5
120	SLC2A4RG
121	ZNF471
122	INTS8
123	PHC2
124	CCDC124
125	C3orf33
126	STRN
127	ZNF567
128	RTKN2
129	PTMA
130	TLR2
131	DMRTA1
132	DLL4
133	DHX36
134	LDB1
135	SERTAD3
136	MAP2K7
137	CREB3L2
138	RARB
139	CAPRIN2
140	LIF
141	CHCHD10
142	PTPRK
143	NONO
144	THRA
145	ELP3
146	MC1R
147	TAF13
148	NOTCH3
149	RFX1
150	ZNF845
151	CBX1
152	FGF7
153	CREBL2
154	ZNF593
155	STK16
156	PATZ1
157	MEPCE
158	ZNF324
159	GTF2H3
160	ZNF35
161	SOX6
162	DDX54
163	ZNF318
164	PLAG1
165	PIK3R1
166	BCAS3
167	RUNX1
168	RTF1
169	BIRC2
170	ZNF83
171	APBB3
172	ZNF575
173	ZNF814
174	MED13L
175	ZNF708
176	NCOA2
177	PHF14
178	OSR1
179	TNIP1
180	TRAK1
181	ELK4
182	HES4
183	KMT2C
184	CDK11B
185	MORF4L2
186	ZGLP1
187	SOS1
188	ZKSCAN1
189	FOXD2
190	INTS2
191	MYC
192	MED14
193	CD28
194	ZNF576
195	ZNF250
196	HOXD9
197	ZNF512B
198	NUCKS1
199	NODAL
200	GTF2B
201	NFAM1
202	SAP30BP
203	SRSF2
204	NCBP2
205	ZBTB46
206	ARRB1
207	VGLL4
208	ZNF653
209	PPHLN1
210	ZNF154
211	SP140
212	SPDEF
213	CARD11
214	BPTF
215	ZFHX4
216	ACTL6A
217	TRIM8
218	ZNF143
219	OVOL1
220	CHP1
221	KDM2B
222	LRIF1
223	ZNF407
224	ZNF182
225	ZNF711
226	ACTR6
227	IRF6
228	SARNP
229	SSBP3
230	HNRNPAB
231	SIGIRR
232	PURG
233	THOC1
234	HMOX1
235	CHEK1
236	UIMC1
237	FGF9
238	ZNF688
239	ZNF286A
240	BAZ1A
241	ZBTB47
242	ERCC4
243	TRIM52
244	EBF1
245	ELP4
246	ZNF655
247	MKKS
248	ZNF540
249	FOXN1
250	CDCA7
251	ZNF367
252	NUP62
253	CENPJ
254	PCBP3
255	ZNF212
256	EZH1
257	FOXO6
258	PCGF6
259	ZNF714
260	DMRT3
261	SUDS3
262	ZNF624
263	MTA2
264	ZFP1
265	TNFSF4
266	CYP1B1
267	TXLNG
268	CCAR1
269	ZNF124
270	ZNF20
271	MEIS1
272	ZNF641
273	TRIM13
274	PSPC1
275	DNAJB1
276	RXRG
277	ZNF276
278	PTGIS
279	ANKRD49
280	ZNF101
281	HMGB2
282	ID2
283	FOXF2
284	PURG
285	TAF4
286	TERF2IP
287	PPP2R1A
288	FAF1
289	ZNF75D
