,x,0
16815,MT-ND4,1.075387
16808,MT-CO1,1.1002561
16812,MT-CO3,1.2571094
16818,MT-CYB,1.2941285
16809,MT-CO2,1.3146675
16811,MT-ATP6,1.3473625
16807,MT-ND2,1.3544465
16806,MT-ND1,1.3961376
16816,MT-ND5,1.622386
5745,EEF1A1,1.6536927
6138,ACTB,1.760416
16813,MT-ND3,1.8995605
14088,EEF2,1.9627335
16814,MT-ND4L,2.0018978
13684,ACTG1,2.0212207
14913,FTL,2.046594
16072,RPL3,2.0681167
14935,RPL13A,2.092894
10762,TPT1,2.0974123
16810,MT-ATP8,2.106218
11740,RPL4,2.13418
16817,MT-ND6,2.137203
9170,AHNAK,2.1580667
12083,SRRM2,2.1683598
11602,B2M,2.183284
8375,PSAP,2.1992881
7514,RPS6,2.2065473
16774,FLNA,2.21132
12715,RPL13,2.2148194
16776,RPL10,2.2193594
1386,GLUL,2.2264407
9789,GAPDH,2.232575
10526,RPLP0,2.2596154
15590,GNAS,2.262168
5668,HSP90AB1,2.2637773
12327,ALDOA,2.267865
16243,TMSB4X,2.270147
11762,RPLP1,2.2833757
9171,EEF1G,2.2885509
8009,RPL7A,2.3238363
5519,RPS18,2.3358593
964,TXNIP,2.3387418
16005,MYH9,2.3478043
16492,RPS4X,2.3512506
14936,RPS11,2.3574364
11396,HSP90AA1,2.3598952
13175,RPL19,2.3635023
7455,RPL8,2.3635092
7869,GSN,2.366541
13519,DDX5,2.368266
534,RPS8,2.3684196
9430,RPS3,2.3877325
5053,SPARC,2.4235134
773,RPL5,2.4247258
6219,HNRNPA2B1,2.4249642
2965,RPL15,2.4250364
9675,HSPA8,2.4419806
10601,UBC,2.4555023
13231,EIF1,2.455716
8184,VIM,2.466844
11774,PKM,2.4756055
7168,RPL7,2.47908
2923,RPL32,2.4799907
15080,LENG8,2.4802153
101,ENO1,2.481825
5949,RPS12,2.4846315
8912,EIF4G2,2.4894495
5403,HLA-E,2.493676
10152,HNRNPA1,2.4976683
2684,RPL37A,2.5012574
7418,PLEC,2.5090826
3031,RPSA,2.5141819
2008,RPS27A,2.514195
15071,RPS9,2.5219648
8419,RPS24,2.5237768
1098,RPS27,2.5250921
906,CSDE1,2.5271688
7111,RPS20,2.5316534
10206,ATP5B,2.5340574
7003,CLU,2.534862
5432,HLA-B,2.537799
7269,PABPC1,2.5387166
15677,APP,2.5391018
5036,RPS14,2.5431886
255,RPL11,2.5444422
6915,CTSB,2.5530224
8891,RPL27A,2.555798
10056,TMBIM6,2.556971
7594,TLN1,2.5587695
2787,PTMA,2.5619555
10777,ITM2B,2.5627387
2004,SPTBN1,2.5662243
10484,RPL6,2.5677347
7914,RPL12,2.5699048
8821,CD81,2.5699878
11325,CALM1,2.5721743
8809,CTSD,2.5759153
15114,RPL28,2.5762799
14895,RPL18,2.5792773
5554,RPL10A,2.581226
10219,LRP1,2.582238
9164,FTH1,2.5859337
14726,RPS19,2.586249
3115,MAP4,2.5892708
8792,RPLP2,2.5919447
9285,CFL1,2.592873
13877,RPL17,2.5981727
2689,TNS1,2.5982947
2249,RPL31,2.598768
10187,MYL6,2.5990913
3962,RPL9,2.6025293
15342,CST3,2.607307
1819,RHOB,2.611289
7270,YWHAZ,2.6174564
11217,SRSF5,2.6177106
1983,CALM2,2.621927
13976,BSG,2.6222863
3212,RPL29,2.6227295
13170,RPL23,2.6250966
10682,RPL21,2.627232
3155,RHOA,2.6305962
10404,HSP90B1,2.6307704
6417,HSPB1,2.6311266
2847,HDLBP,2.631483
5045,GPX3,2.635985
13861,ATP5A1,2.6369348
15799,COL6A1,2.6375756
7684,HNRNPK,2.6415544
15199,RPS5,2.6415563
12852,ACADVL,2.6434834
5540,RPS10,2.647496
4541,RPL37,2.6498878
11875,RPS17,2.6505532
9722,APLP2,2.653017
5431,HLA-C,2.653441
6056,SOD2,2.6535196
2592,SF3B1,2.6536398
16077,ATF4,2.6542373
14041,OAZ1,2.6586928
1726,HNRNPU,2.6586952
14005,CIRBP,2.6611924
16210,SLC25A6,2.6675322
462,MACF1,2.6714423
5125,DUSP1,2.6724641
14920,SNRNP70,2.6750414
5393,HLA-A,2.6800425
12208,RPS15A,2.6858082
1642,ARF1,2.6858187
11208,ZFP36L1,2.685952
916,ATP1A1,2.6865983
4609,FAM159B,2.6872396
3743,EIF4A2,2.6905894
4322,RPS3A,2.6925888
5199,CANX,2.6950204
2785,NCL,2.6958125
4146,SPARCL1,2.6967006
15800,COL6A2,2.6992764
500,YBX1,2.699841
1006,MCL1,2.6999042
1457,CSRP1,2.7001107
1763,RPS7,2.7063673
9844,A2M,2.707187
12880,EIF4A1,2.7086184
3353,RPL24,2.7090728
10169,CD63,2.7094615
12915,RPL26,2.7117863
5035,CD74,2.7135203
15314,DSTN,2.7144446
14435,UBA52,2.7145212
4119,HNRNPDL,2.7226603
10349,DCN,2.7227442
13657,TIMP2,2.724102
7947,SPTAN1,2.7253551
9807,TPI1,2.7286117
13281,RPL27,2.728718
14412,RPL18A,2.736874
4705,RPS23,2.737799
2006,RTN4,2.7386577
14645,ACTN4,2.7397301
12744,YWHAE,2.7401404
3717,EIF4G1,2.7418427
10377,SLC25A3,2.7422912
7901,HSPA5,2.7433927
14433,FKBP8,2.749186
4214,RPL34,2.7539988
14367,TPM4,2.7593164
11395,DYNC1H1,2.76027
10313,NAP1L1,2.7615907
16605,TSC22D3,2.7621777
2677,FN1,2.7630208
9008,CD59,2.763679
7253,RPL30,2.764552
8768,IFITM3,2.7663913
14012,RPS15,2.7684093
7364,NDRG1,2.7706006
5717,DST,2.7713857
3850,ADD1,2.7726264
3806,RPL35A,2.7734354
4101,CCNI,2.7739594
14874,GLTSCR2,2.775265
3489,CNBP,2.7763546
10516,PEBP1,2.7824154
9811,ATN1,2.7834258
7895,RPL35,2.787398
2524,HNRNPA3,2.7885106
414,SFPQ,2.788793
2149,TMSB10,2.7894173
5118,NPM1,2.7902296
14668,ZFP36,2.7948306
5196,HNRNPH1,2.7962265
13367,NFE2L1,2.7978482
3710,AP2M1,2.7979841
12971,MPRIP,2.7981358
8938,RPS13,2.7990768
4887,CTNNA1,2.8012147
44,GNB1,2.8024857
6317,PPIA,2.8031366
12752,PRPF8,2.8031385
7593,TPM2,2.8032074
16486,OGT,2.8057961
9242,SF1,2.8085735
15428,MYL9,2.8088174
13697,P4HB,2.810985
16350,UBA1,2.8115396
10117,EIF4B,2.8117933
2686,IGFBP5,2.8126416
2848,SEPT2,2.8133636
16706,FHL1,2.815458
16453,MSN,2.818733
16126,CYB5R3,2.8194985
14062,AES,2.8219833
9443,OMP,2.823056
4652,BTF3,2.8247213
13421,LUC7L3,2.8292744
16514,PGK1,2.8312473
14596,CAPNS1,2.832208
16330,DDX3X,2.8369448
6734,CALD1,2.8373349
3178,GNAI2,2.8383172
688,SRSF11,2.839473
13028,WSB1,2.8413894
7657,ZFAND5,2.8428683
1076,S100A6,2.8459003
10950,HNRNPC,2.846135
3899,WDR1,2.8484883
12815,KIF1C,2.849118
14533,GPI,2.8526273
11853,MORF4L1,2.8532398
