,name,recon_1
6955,MAGEA4,0.21065524
7627,ASCL1,0.2888421
5539,WT1,0.3250256
9242,MAGEB4,0.34105143
18276,NKX2-5,0.36801964
8434,NOS1,0.37335163
18206,ANKRD1,0.37452832
16271,PYDC1,0.37740272
5361,ARX,0.38088438
1272,SIM2,0.39025217
15970,EPO,0.39464292
8914,LHX8,0.395609
14069,PRAME,0.3960721
8062,MAGEA8,0.39624077
2694,TCF23,0.3965635
2360,PAX2,0.3966176
14555,INSM1,0.400664
15959,ADCY8,0.401469
4352,ACTN2,0.40709803
16558,CGA,0.4080203
11749,PAX5,0.40964946
12328,ERN2,0.41166902
782,SMTNL1,0.41393918
4549,CAMK2A,0.41450334
4201,OLIG1,0.4252422
9290,ZNF80,0.42670012
19376,ALX3,0.4270871
19685,SP9,0.42804044
8684,MAGEA9,0.42848772
4201,OLIG1,0.42849842
1309,CALCA,0.42964745
8133,IFNG,0.4298579
13617,PKHD1,0.43190363
1309,CALCA,0.43221667
7809,CSF2,0.43223205
11065,DUSP26,0.43526167
4549,CAMK2A,0.4361159
15240,IL1A,0.4370182
18206,ANKRD1,0.437347
18276,NKX2-5,0.44177118
9290,ZNF80,0.4425954
11214,WNT3A,0.44273812
8990,GDNF,0.44425133
2385,LMO1,0.4454151
2643,MYOZ2,0.4456347
11537,ZIC2,0.44628248
16271,PYDC1,0.4465185
18964,DACH2,0.45110425
6955,MAGEA4,0.45299178
8392,ISL1,0.45533723
8434,NOS1,0.45547873
6560,HOXD13,0.45575863
944,MNX1,0.45674014
18742,PLA2G10,0.4574998
3591,HES5,0.45787174
19376,ALX3,0.45927498
16558,CGA,0.4602948
2643,MYOZ2,0.46308288
8684,MAGEA9,0.4656659
1481,ANKRD2,0.46671247
8827,NKX2-8,0.46729916
391,TAGLN3,0.46834293
17062,NKX3-2,0.4693409
8062,MAGEA8,0.46994263
6610,MT3,0.47137183
17397,FOXA3,0.47152448
14980,SOX11,0.47250846
8389,CDX1,0.4726422
9888,MAEL,0.4754541
17062,NKX3-2,0.47586972
14712,E2F8,0.47611913
13218,TAL2,0.4765212
11306,SOX2,0.47812662
391,TAGLN3,0.47862455
4534,ZIC4,0.48007128
6343,FEZF2,0.48054513
5696,TNFSF11,0.48145273
6343,FEZF2,0.4821033
5696,TNFSF11,0.4823561
2385,LMO1,0.4826217
11749,PAX5,0.48264223
13841,EN2,0.48279095
18852,BARX1,0.48289156
1481,ANKRD2,0.48375154
16433,DLX2,0.48409534
10615,DMRTC1,0.48414293
11306,SOX2,0.48446742
18751,C14orf39,0.4847996
18027,MYRFL,0.48539808
306,MAGEB17,0.48580244
1611,PTPRN,0.48646858
2694,TCF23,0.4870126
14420,OTX1,0.48758712
12328,ERN2,0.48766086
8114,NR0B1,0.4887248
4579,ZFP57,0.4896514
680,ST18,0.48978028
8361,ZNF695,0.4902127
10321,IL2,0.4908728
2953,NTS,0.49113145
17397,FOXA3,0.49127635
14555,INSM1,0.4920404
18964,DACH2,0.49232316
7361,HOXD11,0.49314588
5539,WT1,0.49319473
18129,EREG,0.4936022
7064,ADCYAP1,0.49441928
10455,HMGA2,0.49499157
7072,POU6F2,0.49678615
2360,PAX2,0.49721575
15122,ZSCAN4,0.4981217
7809,CSF2,0.4986705
1219,ZNF730,0.498849
10615,DMRTC1,0.49952397
14239,DLX6,0.4995572
15747,CUX2,0.49963194
5597,ZIC1,0.49966237
5558,ZNF556,0.5007168
14069,PRAME,0.50431144
13874,TNNI2,0.50450706
5090,FOXJ1,0.50538343
5397,ALK,0.50624627
4352,ACTN2,0.5063876
7361,HOXD11,0.5066404
10968,RSC1A1,0.5067874
13086,ARID3C,0.5070046
2093,HOXC11,0.5073418
10395,ZNF534,0.5073537
19602,TMPRSS6,0.50790244
6799,CRYM,0.5079033
11055,MAGEC3,0.5080281
16245,FIGLA,0.50815445
16041,SALL4,0.5091054
18799,EMX1,0.5095206
7690,SFRP5,0.5099804
3719,ALX1,0.5104207
14725,HOXB9,0.51043856
18751,C14orf39,0.5129654
2831,TBX22,0.5130363
1773,SOX30,0.5133451
3719,ALX1,0.51441276
15522,POU3F3,0.514584
977,CHD5,0.5148953
14269,TNFSF18,0.5149807
4900,MYCN,0.51522213
7698,ETV3L,0.5161582
6567,NKX6-1,0.51642823
17888,DEPDC1,0.51708823
4730,HES2,0.5179714
465,SCGB1A1,0.5179901
13263,ATOH7,0.51933706
14269,TNFSF18,0.5194134
7460,TNF,0.52039635
7193,NHLH1,0.52090275
18742,PLA2G10,0.5210608
11214,WNT3A,0.52177733
18715,SIX3,0.5218371
12120,CSF3,0.5220405
18129,EREG,0.52235043
16648,GCM1,0.52275294
8389,CDX1,0.5227665
11659,ZBED2,0.5227692
13575,ABCG4,0.52326345
8914,LHX8,0.52348316
18027,MYRFL,0.5237956
5312,ZNF280B,0.5240439
13555,MYOZ1,0.52462316
9701,OR7D2,0.5248971
2781,VSX1,0.5251111
14980,SOX11,0.5253262
14712,E2F8,0.52537787
14427,BHLHA15,0.5253803
5472,CKS1B,0.5272931
977,CHD5,0.527453
761,ASCL2,0.5282506
10321,IL2,0.5286144
17998,UCP1,0.5293251
8392,ISL1,0.5295415
6610,MT3,0.5297616
16648,GCM1,0.52978885
6843,FOXI2,0.52990466
5024,GAL,0.5301582
761,ASCL2,0.5316574
7577,ZNF648,0.53205246
19685,SP9,0.53361094
17754,RORB,0.53394526
15728,EOMES,0.53437316
10258,POU3F1,0.5345443
10098,RFX6,0.53461814
19399,EYA1,0.53572124
5361,ARX,0.53687423
2093,HOXC11,0.5368987
15522,POU3F3,0.5371
5112,RIPPLY2,0.53751373
16844,MYBL2,0.5378017
10760,TNIP3,0.5384139
16284,FOXH1,0.54005426
7690,SFRP5,0.5403952
11392,TBX4,0.5405239
3328,ZIM2,0.54101974
6721,ZNF732,0.5414222
1741,S100A12,0.54216284
10219,E2F7,0.5422284
19002,HOXC4,0.54307824
5090,FOXJ1,0.5439967
8990,GDNF,0.54443944
14913,FOXN1,0.544486
3017,SPIB,0.5445375
7991,BNC1,0.5447865
12120,CSF3,0.54485136
14759,PYHIN1,0.5450457
9902,EN1,0.5455065
437,RIPPLY3,0.5457097
5990,FOXF1,0.54571164
3017,SPIB,0.5457856
18799,EMX1,0.5458172
13616,TCF21,0.546078
638,HOXB5,0.5462969
3942,MAGEL2,0.54673135
2953,NTS,0.5470752
793,GATA1,0.5472382
4007,HOXA11,0.5477369
1497,GDF6,0.5477856
6843,FOXI2,0.54782623
11065,DUSP26,0.5478726
15509,HOXC13,0.5482928
2781,VSX1,0.5483648
5736,HOXA13,0.54838234
10760,TNIP3,0.5499229
180,ZNF728,0.55043447
15671,POU5F1B,0.5505454
16856,GRIN1,0.5509433
17228,LEFTY1,0.55145514
2623,GLIS1,0.5515951
3737,SUMO4,0.551756
14239,DLX6,0.5528841
6228,IL1B,0.5540665
2831,TBX22,0.55432945
5588,MAGEE2,0.55435747
9242,MAGEB4,0.55455977
731,FASLG,0.5551844
16245,FIGLA,0.55616295
10975,ZNF676,0.5566519
680,ST18,0.5566676
15491,TNFSF4,0.5567903
2863,ADCY1,0.5571627
15240,IL1A,0.5572484
8210,DLX4,0.557526
16154,ZNF99,0.5575305
17664,PRDM16,0.5588846
17187,HNF1A,0.5590472
3934,NOG,0.55920464
11237,DPF1,0.559236
17169,MAGED4,0.5603171
4726,HOXB8,0.56041336
8827,NKX2-8,0.5605138
944,MNX1,0.56058127
15122,ZSCAN4,0.5606599
82,BIRC5,0.56126726
19459,BMP5,0.56218207
13616,TCF21,0.5621986
16205,FOXL1,0.5623408
11055,MAGEC3,0.5624166
5067,KCNH2,0.56259555
