,name,recon_1
0,BSU00010,0.7115436
1,BSU00020,0.737858
2,BSU00030,0.7018811
3,BSU00040,0.7029918
4,BSU00050,0.7066339
5,BSU00060,0.7444856
6,BSU00070,0.73619145
7,BSU00080,0.72578084
8,BSU00090,0.6950831
9,BSU00100,0.70434964
10,BSU00110,0.7404794
11,BSU00120,0.72537255
12,BSU00130,0.69920707
13,BSU00140,0.7452607
14,BSU00150,0.7184731
15,BSU00160,0.75593305
16,BSU00170,0.7554982
17,BSU00180,0.75301987
18,BSU00190,0.70278215
19,BSU00200,0.7490995
20,BSU00210,0.7060986
21,BSU00220,0.7072599
22,BSU00230,0.72817725
23,BSU00240,0.78892654
24,BSU00250,0.71482515
25,BSU00260,0.74588734
26,BSU00270,0.7039825
27,BSU00280,0.7553072
28,BSU00290,0.71525747
29,BSU00300,0.71740115
30,BSU00310,0.7665646
31,BSU00320,0.7146467
32,BSU00330,0.7281956
33,BSU00340,0.75879943
34,BSU00350,0.7047806
35,BSU00360,0.7311779
36,BSU00370,0.70004773
37,BSU00380,0.74177665
38,BSU00390,0.75367165
39,BSU00400,0.78080267
40,BSU00410,0.71405387
41,BSU00420,0.7098082
42,BSU00430,0.70719045
43,BSU00440,0.7833633
44,BSU00450,0.7559545
45,BSU00460,0.7658329
46,BSU00470,0.7143239
47,BSU00480,0.74685204
48,BSU00490,0.715574
49,BSU00500,0.700722
50,BSU00510,0.7266952
51,BSU00520,0.7382772
52,BSU00530,0.73093754
53,BSU00540,0.70140874
54,BSU00550,0.7342313
55,BSU00560,0.72629905
56,BSU00570,0.73258585
57,BSU00580,0.7610397
58,BSU00590,0.7226361
59,BSU00600,0.71440244
60,BSU00610,0.727374
61,BSU00620,0.744271
62,BSU00630,0.70486516
63,BSU00640,0.70444727
64,BSU00650,0.7877411
65,BSU00660,0.7630816
66,BSU00670,0.7325995
67,BSU00680,0.751587
68,BSU00690,0.70180756
69,BSU00700,0.7272723
70,BSU00710,0.7032091
71,BSU00720,0.71746206
72,BSU00730,0.70653844
