id,name,recon_1
15504,SPZ1,0.13395323
13179,ATOH1,0.1374208
52808,ISX,0.14311983
29931,MYOD1,0.15792966
54889,AGTR2,0.16350529
55558,CTAG2,0.16844888
50267,FOXA2,0.1686968
31189,FGF4,0.16885664
10395,MORC1,0.1721875
28793,NKX2-3,0.18302853
1556,DMRTB1,0.19131833
14318,TRIML1,0.19152455
31125,TBX10,0.19274522
34528,NR1H4,0.19289537
54485,POU3F4,0.19599278
29779,ASCL3,0.19714567
32713,NANOGP1,0.1991318
34654,ASCL4,0.20035768
27070,SOHLH1,0.20195271
16278,WNT8A,0.2035921
53581,SUPT20HL2,0.20385887
1457,DMRTA2,0.20408568
1854,LHX8,0.20435855
30813,SCGB1A1,0.20538655
43135,PRDM7,0.20539469
17488,HDGFL1,0.20559219
28845,TLX1,0.20589265
41840,PYDC1,0.20589891
53988,PAGE4,0.20616001
32728,ZNF705A,0.20619105
17817,TRIM15,0.20650439
813,NR0B2,0.20763509
3991,LHX9,0.21061087
35554,CDX2,0.21210556
23528,NKX6-3,0.21687266
6113,BMP10,0.2180828
14315,TRIML2,0.2181456
14403,TERT,0.2187715
55388,HSFX2,0.2200134
4110,MYOG,0.22266676
48846,DMRTC2,0.2239832
47095,SALL3,0.22443062
27552,PTF1A,0.22575594
37196,NKX2-8,0.2258499
28216,NEUROG3,0.22636946
16663,HAND1,0.22779243
9968,FEZF2,0.22874552
54965,ATP1B4,0.2293239
39641,ONECUT1,0.23348229
19218,VGLL2,0.23437384
26752,LHX2,0.23648015
16143,IL5,0.2388966
19065,NR2E1,0.23952122
40175,ISL2,0.24068816
51675,OLIG2,0.24258944
1303,KLF17,0.24305716
1030,HMGB4,0.2464963
9123,WNT7A,0.24946313
26943,PRDM12,0.25385442
6254,TLX2,0.25395826
49712,ZSCAN5B,0.25395983
46659,ELOA2,0.25541556
36186,POU4F1,0.25550118
44785,SOST,0.2582693
44980,HOXB1,0.25844
49716,ZSCAN5DP,0.25887978
45002,HOXB13,0.25996578
34961,HNF1A,0.26040477
39209,NANOGP8,0.26537868
55638,SRY,0.26549298
10191,POU1F1,0.2656201
25197,CER1,0.26586354
6460,FOXI3,0.2668822
31269,PHOX2A,0.26732185
44449,HNF1B,0.2676142
37192,NKX2-1,0.27312565
6192,EMX1,0.27441576
30123,WT1,0.27704066
25401,TAF1L,0.27740872
2503,NHLH2,0.27818507
15109,IL31RA,0.2784797
32706,NANOG,0.27926204
8492,FEV,0.279826
15093,MCIDAS,0.28036344
44519,NEUROD2,0.2807021
6202,EGR4,0.2818402
8775,MSL3P1,0.2827548
51020,CTCFL,0.28354415
7001,IL1A,0.28532985
48570,OVOL3,0.2854225
42796,DUXB,0.2857689
16147,IL4,0.28624007
47341,RAX2,0.28760773
29471,INS,0.28846756
30113,PAX6,0.28909963
20075,ACTB,0.2891677
7828,HOXD13,0.2892688
25854,FOXD4L5,0.28974444
47593,ZNF560,0.29196182
33710,HOXC12,0.2931667
13537,IL2,0.2937153
22690,MNX1,0.2937713
29294,NKX6-2,0.29383224
36384,ZIC5,0.29442683
48237,ZNF729,0.29634884
36299,SOX21,0.2970162
2727,TXNIP,0.29762936
50737,HNF4A,0.30062968
52768,RFPL2,0.30099246
4540,MIXL1,0.30320695
50228,INSM1,0.30495873
46437,DHFRP1,0.3068978
41034,ZSCAN10,0.30729273
47358,CREB3L3,0.30753198
12093,HMX1,0.30813292
18845,CGA,0.30912217
13407,NEUROG2,0.31027558
2074,SETSIP,0.31092355
5093,MYT1L,0.31800744
18799,RIPPLY2,0.3198651
34095,IFNG,0.32104424
26482,TAL2,0.32132548
4038,ASCL5,0.32171556
16908,NKX2-5,0.32188353
50771,RBPJL,0.32265761
28829,PAX2,0.32304308
2356,ALX3,0.32378522
7024,FOXD4L1,0.32594955
47792,KLF1,0.32660007
16519,POU4F3,0.32887983
1417,FOXE3,0.33013022
35771,TNFSF11,0.33036345
22675,SHH,0.33078232
24917,MAFA,0.3312312
54762,RIPPLY1,0.33233336
41302,PLA2G10,0.33318263
34634,RFX4,0.33319667
22985,GATA4,0.33327013
34578,ASCL1,0.33634385
46436,PSMA8,0.3372033
34370,DCN,0.34172732
36942,CEBPE,0.3421151
47590,ZNF559-ZNF177,0.34328744
51107,GATA5,0.34334892
15979,FAM170A,0.34383428
3649,TNFSF18,0.34398893
10921,FOXL2,0.34409702
47239,ONECUT3,0.34543043
37055,FOXG1,0.34612837
18965,POU3F2,0.34636343
29895,CALCA,0.34834298
10433,TAGLN3,0.34865075
8497,IHH,0.35030258
16617,GPX3,0.3521986
26369,FOXE1,0.35427618
8431,TNP1,0.35435712
55131,TFDP3,0.35605013
45689,GALR2,0.35624772
36956,IL25,0.35631424
51762,RIPPLY3,0.35888112
50333,VSX1,0.3603234
37829,VSX2,0.36445597
45694,FOXJ1,0.36591974
51677,OLIG1,0.36607096
29272,TCERG1L,0.3666139
4581,WNT3A,0.36675632
53594,ARX,0.3724556
50256,PAX1,0.37426928
20389,EVX1,0.37498933
55396,HSFX1,0.375256
33493,WNT1,0.37610516
2071,BRDT,0.37612173
12906,PF4,0.3781779
24973,SCRT1,0.38180774
13519,TNIP3,0.38207695
45224,HSF5,0.3829219
50833,ZNF840P,0.38353834
25859,FOXD4L4,0.38406658
6157,FIGLA,0.38512167
26761,NR5A1,0.385451
28876,PITX3,0.38545987
55531,RPL10,0.3860621
3523,MAEL,0.38798815
29765,LMO1,0.38815138
33689,SP7,0.39073882
53430,TMSB4X,0.39111137
7830,HOXD11,0.39423272
26985,GFI1B,0.39602873
11038,ZIC4,0.3990116
54461,TBX22,0.39947978
21535,BHLHA15,0.4000854
33709,HOXC13,0.40115386
29194,NKX1-2,0.40252882
55528,FLNA,0.40422937
10427,ZBED2,0.4044037
49037,FOXA3,0.4062666
53582,SUPT20HL1,0.4070177
15038,ISL1,0.40997475
32756,AICDA,0.4133851
17812,TRIM31,0.4146682
54172,NLRP2B,0.4157721
6009,OTX1,0.4158165
19215,RFX6,0.41635683
3801,ZNF648,0.4174917
3643,FASLG,0.4184022
10492,ZNF80,0.4189032
33601,ANKRD33,0.4189545
51207,MYT1,0.41898373
3236,ETV3L,0.42073193
24756,ADCY8,0.42163122
25535,CA9,0.4228441
24089,FABP4,0.42325225
7759,DLX2,0.42326608
21641,EPO,0.42460245
7758,DLX1,0.42520672
16602,CD74,0.42965287
36385,ZIC2,0.43206778
47803,DAND5,0.4324105
28475,DYDC2,0.43265074
41549,ERN2,0.43296626
5764,SIX3,0.43331635
49752,ZIM2,0.43511185
31375,RPS3,0.43538228
4952,ZNF695,0.43645135
20585,POU6F2,0.43727145
49489,DPRX,0.43772724
29986,CSRP3,0.43936303
23671,ST18,0.44001138
28172,ATOH7,0.4403931
21722,NFE4,0.44240072
25572,PAX5,0.4437385
53861,ZNF157,0.44599292
45423,DDX5,0.4462379
16710,SOX30,0.44670442
52395,PRAME,0.44721857
52934,DDX17,0.44817972
25488,ARID3C,0.4484373
34272,MYF6,0.44905287
34309,ALX1,0.44978553
30617,BTBD18,0.45007175
41553,CHP2,0.45139807
8514,PTPRN,0.4522464
5132,SOX11,0.45417348
33714,HOXC11,0.45853618
46809,ONECUT2,0.4585431
24498,ABRA,0.45905238
33711,HOTAIR,0.46000627
13717,UCP1,0.46007445
12193,NKX3-2,0.46044004
49798,ZSCAN4,0.46049985
1384,DMBX1,0.46582252
10547,NR1I2,0.46786353
993,ZBTB8B,0.46830022
37547,C14orf39,0.46870145
35097,UBC,0.4701668
5780,EPAS1,0.47092468
15667,POU5F2,0.47141856
29481,CD81,0.4719427
26269,BARX1,0.47202218
16603,RPS14,0.4726873
34691,FOXN4,0.47473624
7800,SP9,0.47514853
23275,CLU,0.47549096
5898,RPS27A,0.47589576
4223,IL10,0.47653502
789,ZNF683,0.4770771
5476,TCF23,0.4775442
21512,DLX6,0.47837034
47298,ZNF556,0.47951847
44489,RPL23,0.48040178
1129,POU3F1,0.48061085
20352,HNRNPA2B1,0.4810231
10538,CD80,0.48246232
51526,APP,0.48248908
48504,HAMP,0.48270592
24990,FOXH1,0.483653
48713,ZFP36,0.48482704
29988,E2F8,0.4851526
8701,PTMA,0.48632234
34138,MYRFL,0.48746347
31827,MMP12,0.48750296
34777,RPL6,0.48779732
18490,GCM1,0.48804453
12747,EPHA5,0.48890772
28540,ADIRF,0.49074
51924,AIRE,0.49097812
49665,IL11,0.49109876
47576,OR7D2,0.49131605
44072,FOXN1,0.49157313
53939,GATA1,0.49169675
53650,NR0B1,0.49191543
19800,SOD2,0.49203977
20654,AEBP1,0.49230966
48650,DPF1,0.49275997
34930,PLA2G1B,0.49414477
21332,CD36,0.49489424
11039,ZIC1,0.4951317
49291,SPIB,0.4954395
25027,FOXD4,0.4956374
48278,ZNF730,0.49659485
1642,JUN,0.49671155
1702,FOXD3,0.4976592
154,HES5,0.49795428
18456,PKHD1,0.49956653
3404,NR1I3,0.5000732
25317,CDKN2B-AS1,0.5004132
274,ENO1,0.50106484
3563,XCL1,0.5019516
45327,TBX4,0.50200504
54776,TSC22D3,0.5022833
33529,TMBIM6,0.50262415
45076,COL1A1,0.50336426
52981,ATF4,0.50699925
55692,TBL1Y,0.5070795
35665,SOHLH2,0.5091992
49432,ZNF534,0.5097817
21881,CAV1,0.51314366
2979,CRNN,0.5131728
19619,SUMO4,0.51340926
34869,NOS1,0.5143488
52876,TMPRSS6,0.51518506
27246,KLF6,0.5155157
28591,ACTA2,0.51630515
34236,E2F7,0.51682603
33693,PCBP2,0.51715785
22670,EN2,0.5174182
1790,DEPDC1,0.51849866
37893,ESRRB,0.51878595
48670,ACTN4,0.5189331
25332,ELAVL2,0.519173
8983,BHLHE40,0.51970965
54512,DACH2,0.52008945
43503,PER1,0.52052224
32665,ATN1,0.52053314
24393,YWHAZ,0.5216287
26096,HNRNPK,0.5225923
4913,HNRNPU,0.5233233
8688,NCL,0.52396315
34054,HMGA2,0.52522093
900,OPRD1,0.5258045
23393,DUSP26,0.5277566
24017,HNF4G,0.5286356
48075,UBA52,0.5293014
16870,NPM1,0.53036
32231,HSPA8,0.5314295
1050,SFPQ,0.53160983
54311,OGT,0.5317587
37449,DLGAP5,0.5324156
1246,YBX1,0.53275603
26782,HSPA5,0.5343872
3359,NHLH1,0.53597134
48257,ZNF492,0.5370334
11671,BCL6,0.5375318
28764,ANKRD2,0.5380099
47732,ZNF878,0.5384772
53767,DDX3X,0.5384807
1616,PLPP3,0.53923523
16597,CDX1,0.5394805
53298,SHOX,0.5398332
21268,HSPB1,0.54009473
37870,FOS,0.5404426
23480,TACC1,0.54053503
35800,TSC22D1,0.5407983
5518,FOSL2,0.54155827
17487,PRL,0.5422446
44691,STAT3,0.54284513
11518,SOX2,0.5430754
101,CCNL2,0.5435831
15368,FOXD1,0.54459685
10753,CNBP,0.5451241
55224,VGLL1,0.545392
13080,NKX6-1,0.54755497
37705,ACTN1,0.5488611
30941,SF1,0.54900676
32843,YBX3,0.5492533
14904,GDNF,0.5504058
11982,ADD1,0.5505769
48375,ZNF536,0.55124754
4526,LEFTY1,0.55209446
9480,CTNNB1,0.5521378
20385,HOXA13,0.552545
7002,IL1B,0.5525822
49819,ZSCAN1,0.55298
47895,NOTCH3,0.55350035
44966,NFE2L1,0.5538787
48263,ZNF99,0.5539612
20673,PPIA,0.5547756
48056,JUND,0.5550755
26830,ENG,0.5554058
43502,HES7,0.55579543
11896,ZNF732,0.55605394
264,RERE,0.5569304
34380,BTG1,0.55699617
52636,XBP1,0.557379
18401,ADGRF1,0.5581789
17916,DDX39B,0.55863166
40240,MORF4L1,0.5586793
17923,TNF,0.55893105
17769,ZFP57,0.55929697
31243,ZNF705E,0.55935013
52393,ZNF280B,0.5598732
23349,RBPMS,0.5599024
47660,ILF3,0.5599529
35598,HMGB1,0.5604786
25951,KLF9,0.5607661
47799,CALR,0.5609871
55229,CD40LG,0.5619351
31538,PICALM,0.5620817
16292,EGR1,0.56261706
33890,STAT6,0.56316274
18031,BRD2,0.56383365
47783,JUNB,0.5642918
54300,NONO,0.5643529
23623,CEBPD,0.5644925
49550,NLRP12,0.5645257
40018,NR2E3,0.5649959
33704,CALCOCO1,0.56528884
6827,POU3F3,0.5652889
45170,NOG,0.56530154
5541,ALK,0.56564677
47077,GALR1,0.5657899
33685,PFDN5,0.56625694
54167,SPIN2A,0.56631535
5285,MYCN,0.56646097
42307,MT3,0.5673597
48241,ZNF98,0.5674827
