,name,recon_1
0,DSCC1,0.7037236
1,SYNJ1,0.6850242
2,SSR4,0.7918088
3,PTPN6,0.7864215
4,FEM1B,0.77353907
5,DHRS2,0.63113797
6,PANK4,0.75048447
7,CSTF2T,0.7400348
8,PQBP1,0.79330057
9,ISLR2,0.49555853
10,AC135048.1,0.4127996
11,VPS41,0.7609775
12,GHITM,0.79820734
13,GPR116,0.69885445
14,C12orf45,0.75184804
15,FITM1,0.55343604
16,ICMT,0.7763687
17,FAM199X,0.742675
18,OSR1,0.5861798
19,CCDC8,0.67281795
20,C1GALT1,0.8340619
21,RP11-1021N1.1,0.19166137
22,NAV3,0.57630426
23,KCTD15,0.7799278
24,FCAR,2.2560117
25,CEP85,0.73146945
26,RAB3IL1,0.69682807
27,EDC4,0.77376467
28,WDR83,0.733491
29,PAX3,0.4288775
30,ENTPD2,0.664908
31,NRP2,0.76530415
32,SOX9,0.7645054
33,TUBE1,0.7045581
34,LETM1,0.78361946
35,CARS2,0.77427673
36,C10orf11,0.6702307
37,GTF2H1,0.7630084
38,SNX29,0.7296832
39,ARMCX6,0.77540094
40,ETV3L,0.24833703
41,SUB1,0.7742768
42,TREML2,0.3881031
43,UBE2M,0.7858855
44,EME2,0.6743137
45,TEX264,0.7773495
46,MAD2L2,0.789404
47,HNF1A,0.47335055
48,RNF222,0.54665154
49,ABCB6,0.77534145
50,PTPRZ1,0.77877593
51,PAF1,0.7882852
52,PRODH,0.7401042
53,SMCR8,0.69568443
54,FGD4,0.6794084
55,FUT10,0.66182375
56,ZFP62,0.7387112
57,ICAM3,0.74861807
58,PLEKHM1,0.77622724
59,SYT10,0.33443585
60,EHF,0.80759865
61,SCARA5,0.5800715
62,DKK4,0.47299716
63,TAS2R1,0.1185007
64,METRN,0.7696429
65,GSDMD,0.7851842
66,GCSAM,0.65795606
67,RHCE,0.5175141
68,C16orf52,0.7266391
69,KIF25,0.30371115
70,KCNA4,0.1801768
71,C11orf21,0.46030685
72,TIMM21,0.7508132
73,ATP6V0D1,0.7876423
74,ZSCAN1,0.39022163
75,TEX29,0.4943987
76,BTLA,0.50292844
77,BTNL3,0.33252442
78,SAMD1,0.7940182
79,FOXN1,0.711706
80,WNT8B,0.56893533
81,EML5,0.61376125
82,CYBA,0.83313113
83,GPR42,0.50759214
84,IL1RN,0.85463595
85,PFKM,0.77841634
86,KCNT2,0.34089115
87,RPA1,0.78880626
88,SMTN,0.782348
89,CUL3,0.7877364
90,CCDC132,0.740076
91,BTBD19,0.6335054
92,ARPC5,0.8013812
93,TMEM107,0.7519989
94,SBK2,0.3211947
95,RP11-234B24.6,0.2758795
96,AGL,0.71418357
97,ATP2A2,0.79623866
98,UBR7,0.7658357
99,TSPYL2,0.73340774
100,FEZ1,0.77914745
101,SIRT2,0.81153923
102,MESDC1,0.74841183
103,STX8,0.7879545
104,VLDLR,0.7452317
105,DCAF4,0.74747735
106,EIF2D,0.78032094
107,XBP1,0.79940826
108,PIGL,0.732723
109,SCG3,0.23411995
110,MSANTD3,0.76669526
111,WDR24,0.7323255
112,COL10A1,0.74099445
113,PNMA6D,0.34038934
114,LASP1,0.79457617
115,KIF26A,0.5692617
116,MED7,0.72467405
117,TOMM6,0.7956009
118,GANC,0.7404249
119,PSENEN,0.7876096
120,PSRC1,0.73408526
121,GDF9,0.3682387
122,PCDHB14,0.69339633
123,ZNF778,0.64142424
124,CNIH4,0.79517484
125,TGM2,0.8514691
126,ZFP1,0.6982098
127,CCL11,0.6340088
128,TMEM74,0.36767364
129,MTL5,5.213371
130,ZNF788,0.2651682
131,MTX1,0.78945
132,ZYG11B,0.698402
133,SDR9C7,0.6990852
134,ESAM,0.75189227
135,ENKUR,0.46149087
136,TTC39B,0.72789484
137,RNASE13,0.17672114
138,CHRNB4,0.5123414
139,BLCAP,0.8052449
140,CHFR,0.75168437
141,REM2,0.44571996
142,CD97,0.7788089
143,ZNF473,0.6940992
144,PLEKHG7,0.31893834
145,RBM4B,0.75538397
146,RASAL2,0.7114456
147,AFMID,0.77860254
148,FAM187B,0.31846815
149,FBXO27,0.74636954
150,GTSCR1,0.20489484
151,KRTAP4-4,0.05016732
152,RASL10B,0.4914836
153,PIP5K1B,0.5503586
154,KIAA0100,0.7883463
155,ZNF780B,0.6751713
156,FABP2,0.12479067
157,BIN1,0.7635568
158,LHX2,0.59707934
159,B3GALT1,0.21653849
160,DALRD3,0.77241325
161,GBP4,0.7405374
162,TBL1Y,0.8983161
163,SEC16A,0.7792981
164,CCL17,0.6119982
165,SH2D3C,0.72907263
166,FAM3B,0.6333045
167,TMOD2,0.64045227
168,RPS11,0.6664373
169,SCAPER,0.73366994
170,FANCB,0.60621697
171,NTN1,0.71429974
172,SIMC1,0.6876595
173,EIF4G1,0.78583795
174,PPP2R3B,0.71191406
175,MESP2,0.5195665
176,NOMO1,0.7955327
177,INO80E,0.7808609
178,GCSAML,0.31702295
179,ECSIT,0.78593254
180,CCL3,0.74776715
181,CTB-129P6.11,0.21160407
182,CTD-2349B8.1,0.25889295
183,ERLEC1,0.781035
184,ZNF256,0.62262
185,HOXB5,0.4197633
186,RMND1,0.7391624
187,ESYT1,0.795819
188,SLC22A18,0.760901
189,SPATA13,0.67015606
190,TTPAL,0.7377307
191,RP11-126K1.2,0.60465217
192,ZNF250,0.72085285
193,TKTL1,0.3044208
194,CRLF3,0.7442749
195,PNPLA4,0.7644269
196,DUSP5,0.7605088
197,PGK1,0.8221028
198,RPS16,0.694501
