id,name,recon_1
1,WASH7P,0.6478269
6,OR4G11P,0.21133596
7,OR4F5,0.2860454
8,RP11-34P13.7,0.5769105
9,CICP27,1.0800141
10,RP11-34P13.15,4.426639
11,RP11-34P13.16,4.003216
12,RP11-34P13.14,0.9789726
13,RP11-34P13.13,0.5001723
16,ABC7-43046700E7.1,0.21775378
17,RP11-34P13.18,0.6735566
19,AP006222.2,3.48372
23,RP4-669L17.10,0.4948148
25,OR4F29,0.1823291
27,RP4-669L17.8,0.49335802
29,RP5-857K21.4,0.3742232
31,MTND1P23,0.63027084
32,MTND2P28,0.70960516
33,MTCO1P12,0.7241385
34,MTCO2P12,0.6571638
35,MTATP8P1,0.56839776
36,MTATP6P1,0.67078763
37,MTCO3P12,0.6715331
41,CICP3,0.45668784
42,RP11-206L10.2,0.6941966
45,RP11-206L10.9,4.5507293
46,RP11-206L10.8,0.5205505
47,FAM87B,3.292319
48,LINC01128,0.6962492
49,LINC00115,0.6324005
50,FAM41C,0.44065785
51,TUBB8P11,0.4502062
53,RP11-54O7.16,0.31119916
54,RP11-54O7.1,0.49667343
56,RP11-54O7.3,0.52632856
57,SAMD11,0.56942934
58,NOC2L,0.72305673
59,KLHL17,0.7136211
60,PLEKHN1,0.71796846
61,PERM1,0.7217575
62,RP11-54O7.17,0.6589205
63,HES4,0.68823135
64,ISG15,3.1727176
66,RP11-54O7.11,1.8859805
67,AGRN,0.7104245
68,RP11-465B22.3,0.62940973
69,RP11-54O7.18,0.33216938
70,RNF223,0.6520391
71,C1orf159,0.7110946
72,LINC01342,0.3655064
73,MIR200B,1.0604563
74,MIR200A,0.71561503
75,MIR429,0.95526534
76,RP11-465B22.8,0.6635082
77,TTLL10-AS1,2.314674
78,TTLL10,0.5317998
79,TNFRSF18,0.70887345
80,TNFRSF4,0.5728687
81,SDF4,0.71132046
82,B3GALT6,0.7070759
83,C1QTNF12,5.375514
84,RP5-902P8.12,0.57416767
85,UBE2J2,0.71868277
86,LINC01786,0.53423893
87,SCNN1D,0.70239824
88,ACAP3,0.72488725
90,PUSL1,0.7082289
91,INTS11,0.72305757
