,name,recon_1
0,SAMD11,0.6281844
1,NOC2L,0.6186798
2,PERM1,0.68363154
3,HES4,0.69711137
4,AGRN,0.6089885
5,TNFRSF4,0.63194996
6,DVL1,0.60449713
7,CCNL2,0.51585746
8,SSU72,0.6104701
9,CDK11B,0.65712446
10,CDK11A,0.6748265
11,PRKCZ,0.6903612
12,SKI,0.5862193
13,HES5,0.67493486
14,PRDM16,0.6724425
15,TP73,0.69333684
16,CHD5,0.6370693
17,HES3,0.13240312
18,HES2,0.6620086
19,ZBTB48,0.6795026
20,THAP3,0.69396585
21,CAMTA1,0.68775594
22,PER3,0.66913813
23,PARK7,0.63720655
24,RERE,0.5836676
25,ENO1,0.44541034
26,CTNNBIP1,0.5109801
27,PEX14,0.6813338
28,CASZ1,0.5873211
29,MTOR,0.6406654
30,MAD2L2,0.69193125
31,MTHFR,0.65961826
32,PRAMEF12,0.15099102
33,PRAMEF1,0.06931127
34,PRAMEF11,0.04450098
35,PRAMEF2,0.055139486
36,PRAMEF4,0.032130506
37,PRAMEF10,0.031366676
38,PRAMEF7,0.035769332
39,PRAMEF6,0.020782566
40,PRAMEF27,0.021212673
41,PRAMEF25,0.0027819492
42,PRAMEF9,0.009742937
43,PRAMEF5,0.012034455
44,PRAMEF8,0.04151963
45,PRAMEF33,0.00885497
46,PRAMEF15,0.03599556
47,PRAMEF14,0.037532378
48,PRAMEF19,0.059929535
49,PRAMEF17,0.052569095
50,PRAMEF20,0.06650803
51,PRDM2,0.61871105
52,SPEN,0.5727085
53,ZBTB17,0.6678294
54,PADI2,0.69240314
55,PAX7,0.36133054
56,PINK1,0.6799431
57,HP1BP3,0.5548375
58,WNT4,0.6520043
59,ZBTB40,0.65525264
60,KDM1A,0.634795
61,ZNF436,0.6683781
62,TCEA3,0.6514984
63,E2F2,0.6958429
64,ID3,0.64741653
65,ELOA,0.65143603
66,PITHD1,0.63421583
67,SRSF10,0.62146413
68,GRHL3,0.61596334
69,RUNX3,0.68027693
70,ZNF593,0.06390434
71,ZNF683,0.50132036
72,RPS6KA1,0.66457003
73,ARID1A,0.59793407
74,GPATCH3,0.69160193
75,NR0B2,0.18752694
76,SLC9A1,0.66207975
77,WDTC1,0.61263573
78,PTAFR,0.69610775
79,SESN2,0.6962192
80,MED18,0.6976703
81,TAF12,0.6881414
82,GMEB1,0.6916775
83,OPRD1,0.39969435
84,KHDRBS1,0.6139466
85,KPNA6,0.6172163
86,HDAC1,0.6381658
87,ZBTB8B,0.41568843
88,ZBTB8A,0.69632316
89,TRIM62,0.6756655
90,ZNF362,0.6698759
91,PHC2,0.6104611
92,ZSCAN20,0.66169053
93,HMGB4,0.20427352
94,SFPQ,0.48537627
95,TFAP2E,0.69715613
96,PSMB2,0.6353716
97,AGO1,0.6443363
98,THRAP3,0.59410906
99,ZC3H12A,0.62015235
100,SNIP1,0.6873352
101,MTF1,0.68343365
102,FHL3,0.6877517
103,POU3F1,0.6834254
104,MYCBP,0.69740236
105,AKIRIN1,0.6716396
106,HEYL,0.69692636
107,PPIE,0.666065
108,MYCL,0.6357074
109,RLF,0.6502414
110,ZMPSTE24,0.67023635
111,ZFP69B,0.59384716
112,ZFP69,0.6817381
113,ZNF684,0.6706774
114,NFYC,0.6419923
115,CITED4,0.6692149
116,SCMH1,0.6796051
117,FOXO6,0.6852572
118,HIVEP3,0.6579665
119,FOXJ3,0.62377447
120,YBX1,0.5254907
121,ZNF691,0.69690776
122,MED8,0.6683676
123,KDM4A,0.65791065
124,KLF17,0.15764967
125,KLF18,0.10497124
126,DMAP1,0.6430933
127,PLK3,0.65412986
128,GPBP1L1,0.5910152
129,DMBX1,0.44716614
130,TAL1,0.6941401
131,FOXE3,0.37614235
132,FOXD2,0.6152603
133,BEND5,0.6757199
134,DMRTA2,0.17363079
135,FAF1,0.6457872
136,KTI12,0.6945767
137,CC2D1B,0.6641525
138,ORC1,0.67748255
139,LRP8,0.6947244
140,DMRTB1,0.1469905
141,GLIS1,0.6867464
142,SSBP3,0.6346658
143,PLPP3,0.5837337
144,MYSM1,0.63656026
145,JUN,0.45301828
146,NFIA,0.65840334
147,FOXD3,0.60983604
148,ITGB3BP,0.69768417
149,EFCAB7,0.6982366
150,ROR1,0.69731534
151,MIR101-1,0.0014383051
152,MIER1,0.6691806
153,GADD45A,0.6637167
154,DEPDC1,0.666082
155,CTH,0.6582159
156,LHX8,0.05171141
157,SAMD13,0.5712296
158,BCL10,0.6890436
159,ZNHIT6,0.6795099
160,LMO4,0.6533651
161,GTF2B,0.68075395
162,ZNF326,0.65786433
163,BARHL2,0.10446647
164,ZNF644,0.6814866
165,BRDT,0.19475925
166,SETSIP,0.32312986
167,RPAP2,0.6888219
168,GFI1,0.5953603
169,MTF2,0.6836134
170,DR1,0.6269166
171,RWDD3,0.69681364
172,S1PR1,0.6833965
173,PRMT6,0.69737774
174,TAF13,0.6921402
175,CELSR2,0.5440774
176,PSRC1,0.6895052
177,PSMA5,0.6596219
178,ALX3,0.40286675
179,RBM15,0.6972996
180,LAMTOR5,0.67401314
181,LRIF1,0.6970886
182,WDR77,0.694969
183,TMIGD3,0.5640368
184,ADORA3,0.6091218
185,DDX20,0.6918163
186,TRIM33,0.62806296
187,NHLH2,0.6834083
188,TRIM45,0.69713813
189,TBX15,0.69602877
190,ZNF697,0.6945155
191,NOTCH2,0.52818996
192,POLR3C,0.6860512
193,PIAS3,0.6378484
194,TXNIP,0.3377529
195,BCL9,0.6850864
196,OTUD7B,0.6735158
197,CIART,0.67206085
198,ECM1,0.64818007
199,ARNT,0.6268768
200,SETDB1,0.6690208
201,MLLT11,0.69723755
202,GABPB2,0.6689023
203,VPS72,0.68031836
204,PSMD4,0.6217016
205,RFX5,0.6906108
206,PSMB4,0.5980463
207,POGZ,0.60181105
208,RORC,0.6557562
209,CRNN,0.69747573
210,S100A9,0.6755452
211,S100A12,0.4615365
212,S100A8,0.6934791
213,ILF2,0.60429424
214,GATAD2B,0.633351
215,CRTC2,0.63943034
216,CREB3L4,0.6956323
217,HAX1,0.6611639
218,PBXIP1,0.62416697
219,SHC1,0.62825817
220,CKS1B,0.69337666
221,ZBTB7B,0.5247629
222,EFNA1,0.5816639
223,MUC1,0.6964655
224,ASH1L,0.60673183
225,YY1AP1,0.6438432
226,GON4L,0.6416393
227,ARHGEF2,0.6762961
228,PMF1,0.66386336
229,GLMP,0.68612266
230,MEF2D,0.6042379
231,CRABP2,0.61937463
232,HDGF,0.53463566
233,NTRK1,0.47322538
234,ARHGEF11,0.64192915
235,ETV3L,0.24693389
236,ETV3,0.6081461
237,PYHIN1,0.5663615
238,IFI16,0.6180653
239,AIM2,0.4941299
240,NHLH1,0.60295343
241,USF1,0.661052
242,USP21,0.6690139
243,NR1I3,0.6293775
244,ATF6,0.64336705
245,DDR2,0.65894324
246,PBX1,0.663712
247,LMX1A,0.450296
248,RXRG,0.6566174
249,POGK,0.63659763
250,TADA1,0.69390744
251,MAEL,0.35070556
252,POU2F1,0.67019284
253,CREG1,0.582514
254,DCAF6,0.6487705
255,TBX19,0.69754267
256,XCL1,0.41021225
257,PRRX1,0.6653554
258,FASLG,0.35635823
259,TNFSF18,0.36821133
260,TNFSF4,0.61474776
261,ZBTB37,0.66746163
262,LHX4,0.68066126
263,IER5,0.64168775
264,ZNF648,0.5283532
265,RNASEL,0.69663006
266,DHX9,0.59465814
267,RNF2,0.6972606
268,TPR,0.59542835
269,GLRX2,0.6955453
270,CDC73,0.6809328
271,ZBTB41,0.69363236
272,LHX9,0.1278298
273,NR5A2,0.68264204
274,ZNF281,0.6941102
275,ASCL5,0.33592162
276,ELF3,0.68827206
277,KDM5B,0.5967967
278,MYOG,0.16679569
279,BTG2,0.53694904
280,ATP2B4,0.514165
281,ZBED6,0.5908679
282,SOX13,0.6711671
283,MDM4,0.60410655
284,CDK18,0.6978416
285,ELK4,0.6141314
286,NUCKS1,0.5654217
287,RAB7B,0.6525601
288,IL10,0.30882862
289,CD34,0.6178859
290,IRF6,0.5027835
291,RCOR3,0.6424543
292,TRAF5,0.69164205
293,ATF3,0.5926491
294,BATF3,0.6488
295,PROX1,0.6862325
296,SMYD2,0.68406695
297,PTPN14,0.5976304
298,CENPF,0.69720954
299,ESRRG,0.6726547
300,TGFB2,0.6863531
301,HLX,0.69763356
302,TP53BP2,0.66201204
303,LEFTY1,0.50899
304,MIXL1,0.21941566
305,LIN9,0.693656
306,PARP1,0.64246595
307,ZNF678,0.69530565
308,WNT3A,0.6868348
309,TRIM11,0.6776373
310,RNF187,0.5959943
311,TAF5L,0.68784446
312,AGT,0.64561254
313,EGLN1,0.62574655
314,TARBP1,0.6407901
315,IRF2BP2,0.5705603
316,ARID4B,0.65997493
317,HEATR1,0.66519797
318,ACTN2,0.65910095
319,ZBTB18,0.68309546
320,HNRNPU,0.4926541
321,SMYD3,0.69766754
322,TFB2M,0.6960236
323,ZNF695,0.37188587
324,ZNF670,0.67314047
325,ZNF669,0.6749674
326,ZNF124,0.6713564
327,ZNF496,0.68103576
328,NLRP3,0.63506895
329,ZNF672,0.66792053
330,ZNF692,0.6596052
331,MYT1L,0.30511302
332,SOX11,0.38309404
333,ID2,0.64770204
334,ITGB1BP1,0.6669173
335,YWHAQ,0.57140493
336,TAF1B,0.6972698
337,GRHL1,0.56240803
338,KLF11,0.6424101
339,RRM2,0.68964154
340,E2F6,0.6970456
341,LPIN1,0.6545501
342,TRIB2,0.6737723
343,DDX1,0.62326497
344,MYCN,0.62551767
345,MSGN1,0.13039231
346,OSR1,0.6967395
347,GDF7,0.69739074
348,ATAD2B,0.6649118
349,NCOA1,0.62867075
350,POMC,0.6934309
351,DNMT3A,0.6851043
352,ASXL2,0.6699924
353,MAPRE3,0.65299886
354,TCF23,0.41379234
355,UCN,0.6175798
356,ZNF513,0.68085366
357,SUPT7L,0.6610148
358,FOSL2,0.4853528
359,WDR43,0.65652615
360,ALK,0.51490545
361,LBH,0.66123146
362,DPY30,0.6875399
363,NLRC4,0.59818214
364,STRN,0.63810205
365,EIF2AK2,0.6843628
366,CEBPZ,0.6817899
367,CYP1B1,0.69000894
368,MTA3,0.66072255
369,SIX3,0.3374504
370,SIX2,0.58293545
371,EPAS1,0.5656604
372,RHOQ,0.66475445
373,EPCAM,0.6981253
374,FOXN2,0.69681776
375,GTF2A1L,0.5361932
376,PSME4,0.6383158
377,RPS27A,0.4198099
378,EFEMP1,0.6265456
379,BCL11A,0.65543985
380,REL,0.68741244
381,COMMD1,0.6948766
382,OTX1,0.6936235
383,PELI1,0.62795615
384,SERTAD2,0.63125986
385,ACTR2,0.6121415
386,MEIS1,0.6632956
387,PPP3R1,0.65350115
388,BMP10,0.3383811
389,ANXA4,0.6260412
390,MXD1,0.6526687
391,PCBP1,0.6317194
392,TGFA,0.67177755
393,FIGLA,0.28119242
394,VAX2,0.615612
395,EMX1,0.4381206
396,NOTO,0.13102467
397,EGR4,0.36747813
398,TET3,0.5888782
399,LBX2,0.5082236
400,PCGF1,0.69701034
401,TLX2,0.4418324
402,LOXL3,0.6781506
403,GCFC2,0.692151
404,TCF7L1,0.6849868
405,ATOH8,0.6807624
406,KDM3A,0.5733818
407,SMYD1,0.47482768
408,FOXI3,0.3904593
409,EIF2AK3,0.6851303
410,ZNF514,0.6892724
411,ZNF2,0.69212383
412,KCNIP3,0.6969673
413,CIAO1,0.67879695
