id,name,recon_1
1,WASH7P,9.982539
6,OR4G11P,7.765394
7,OR4F5,7.766351
8,RP11-34P13.7,0.7274713
9,CICP27,1.0951304
10,RP11-34P13.15,7.6440125
11,RP11-34P13.16,7.635831
12,RP11-34P13.14,14.204639
13,RP11-34P13.13,7.578282
16,ABC7-43046700E7.1,7.7824597
17,RP11-34P13.18,7.6743474
19,AP006222.2,11.423133
23,RP4-669L17.10,7.744704
25,OR4F29,7.7396517
27,RP4-669L17.8,7.731677
29,RP5-857K21.4,1.639881
31,MTND1P23,7.65614
32,MTND2P28,5.732071
33,MTCO1P12,7.679535
34,MTCO2P12,7.601288
35,MTATP8P1,7.5842113
36,MTATP6P1,7.712988
37,MTCO3P12,7.652782
41,CICP3,13.450128
42,RP11-206L10.2,9.108964
45,RP11-206L10.9,7.6172695
46,RP11-206L10.8,7.577992
47,FAM87B,3.6396925
48,LINC01128,8.564897
49,LINC00115,10.373293
50,FAM41C,13.250314
51,TUBB8P11,7.773638
53,RP11-54O7.16,13.927649
54,RP11-54O7.1,7.6283336
56,RP11-54O7.3,11.389133
57,SAMD11,7.688949
58,NOC2L,6.6278667
59,KLHL17,8.236939
60,PLEKHN1,7.7031193
61,PERM1,8.12084
62,RP11-54O7.17,5.435382
63,HES4,9.188647
64,ISG15,9.72434
66,RP11-54O7.11,7.5676684
67,AGRN,6.6532025
68,RP11-465B22.3,10.365286
69,RP11-54O7.18,7.489638
70,RNF223,7.687586
71,C1orf159,7.9886427
72,LINC01342,1.3400017
73,MIR200B,0.79192424
74,MIR200A,7.7499104
75,MIR429,0.76391006
76,RP11-465B22.8,9.995818
77,TTLL10-AS1,7.7408967
78,TTLL10,11.883539
79,TNFRSF18,7.6543736
80,TNFRSF4,7.691418
81,SDF4,6.510477
82,B3GALT6,8.371722
83,C1QTNF12,5.1681867
84,RP5-902P8.12,11.39779
85,UBE2J2,7.3583784
86,LINC01786,7.572047
87,SCNN1D,7.6532245
88,ACAP3,7.7196813
90,PUSL1,7.6614394
91,INTS11,6.40747
93,RP5-890O3.9,9.803097
94,CPTP,7.2929363
95,TAS1R3,7.589998
96,DVL1,7.700101
98,MXRA8,7.6330643
99,AURKAIP1,7.2079616
100,NDUFB4P8,14.17757
101,CCNL2,7.6301255
102,RP4-758J18.2,8.683157
103,MRPL20,7.6559277
104,RP4-758J18.13,10.395507
105,ANKRD65,7.642836
106,RP4-758J18.7,12.723301
107,TMEM88B,7.7514067
108,LINC01770,7.673192
109,VWA1,7.6021748
110,ATAD3C,7.606522
111,ATAD3B,7.6884627
112,ATAD3A,7.9931335
113,TMEM240,7.7103868
114,SSU72,6.5375905
115,RP5-832C2.5,11.319993
117,FNDC10,7.6750364
118,RP11-345P4.9,7.674605
119,MIB2,7.658817
120,MMP23B,12.341177
121,CDK11B,7.313394
123,SLC35E2B,7.237978
124,RP11-345P4.6,10.321977
125,MMP23A,7.6116366
126,CDK11A,7.682407
127,RP1-283E3.4,9.145308
128,SLC35E2,9.356231
129,NADK,8.150686
130,GNB1,5.6418157
131,RP1-140A9.1,12.618637
132,CALML6,7.60513
133,TMEM52,4.7943754
134,CFAP74,12.858176
135,RP11-547D24.1,13.557921
136,GABRD,11.653742
138,PRKCZ,8.382833
139,RP5-892K4.1,7.7413707
140,PRKCZ-AS1,7.65464
141,FAAP20,7.66745
142,RP11-181G12.4,7.689121
143,SKI,6.085065
144,MORN1,7.67278
145,RP4-713A8.1,14.188208
146,RP4-740C4.5,7.6329365
147,RP4-740C4.7,11.832105
148,RER1,6.6476574
149,PEX10,8.614427
150,PLCH2,7.628143
151,RP3-395M20.2,3.0054529
152,RP3-395M20.3,3.1286025
153,PANK4,7.6711397
154,HES5,10.106058
155,RP3-395M20.12,9.870963
156,RP3-395M20.8,10.43568
157,TNFRSF14,7.2271085
158,RP3-395M20.7,7.680319
159,RP3-395M20.9,7.700499
160,FAM213B,7.6709485
161,MMEL1,12.408325
163,TTC34,11.120048
164,ABC14-1188822O7.1,14.603829
167,ACTRT2,7.744484
168,LINC00982,7.6387577
169,PRDM16,7.666951
172,RP11-193J6.1,14.786697
173,RP11-22L13.1,14.615091
174,ARHGEF16,7.6570053
175,RP11-168F9.2,7.5772552
176,MEGF6,6.183992
178,RP11-46F15.2,7.7113514
179,TPRG1L,6.613286
180,WRAP73,8.372118
181,TP73,7.6617155
184,TP73-AS1,7.667682
185,CCDC27,0.48784837
186,SMIM1,3.711296
187,LRRC47,6.8815312
188,RN7SL574P,7.7312093
189,RP1-286D6.5,11.483516
190,CEP104,7.739078
191,DFFB,5.6111674
192,C1orf174,8.355154
193,LINC01134,7.772183
200,AJAP1,7.6059356
204,RP11-154H17.1,0.5039312
207,NPHP4,7.863492
208,KCNAB2,7.9907794
209,CHD5,7.6288743
210,RPL22,5.5853915
211,RP1-120G22.11,7.7013774
212,RNF207,9.739559
213,ICMT,7.0672073
214,LINC00337,1.230396
216,GPR153,7.4547253
217,ACOT7,7.194736
218,HES2,7.706427
219,ESPN,7.6513767
221,RP1-202O8.2,2.0306206
222,TNFRSF25,8.062996
223,PLEKHG5,5.7003465
224,NOL9,7.66835
226,RP11-58A11.2,13.774298
227,TAS1R1,3.439016
228,ZBTB48,7.6545057
229,KLHL21,7.688763
230,PHF13,7.6522183
231,THAP3,7.6599193
232,DNAJC11,7.7697315
234,RP11-312B8.1,1.1060867
235,CAMTA1,8.223046
239,CAMTA1-IT1,7.5135136
241,RP4-549F15.1,14.75578
242,RP11-338N10.1,13.301522
243,RP11-338N10.2,1.9486843
244,RP11-338N10.3,7.5723553
245,VAMP3,7.707347
246,RP3-467L1.6,7.709585
247,PER3,7.4174466
248,RP3-467L1.4,7.613814
249,UTS2,7.7533383
250,TNFRSF9,7.551807
252,PARK7,6.9581757
254,ERRFI1,7.6730723
255,RP11-431K24.1,1.7820808
256,CTA-215D11.4,14.530555
262,SLC45A1,7.708678
264,RERE,6.0431337
265,RP5-1115A15.1,12.849497
268,RPL7P11,7.5674834
269,RPL7P7,14.523697
274,ENO1,7.623198
276,ENO1-IT1,7.5906773
277,ENO1-AS1,13.636557
279,HMGN2P17,7.4924397
282,CA6,7.684628
283,RN7SL451P,1.0578322
285,SLC2A5,7.6748033
287,GPR157,7.6629734
288,MIR34AHG,6.371986
289,LINC01759,7.680879
290,RP3-510D11.4,7.5782027
291,H6PD,5.841683
292,SPSB1,8.12276
294,RP13-392I16.1,14.978403
295,SLC25A33,7.614702
296,RP13-15M17.1,7.532574
297,TMEM201,8.355669
298,PIK3CD,7.679392
301,PIK3CD-AS2,11.864981
302,CLSTN1,7.6243978
304,RP11-84A14.7,7.548104
305,CTNNBIP1,5.19536
306,LZIC,7.676148
307,RP11-84A14.4,7.7694554
308,NMNAT1,9.297014
309,RN7SKP269,7.4942155
312,RBP7,8.776864
313,UBE4B,6.626753
314,RP11-496H15.2,0.85374963
315,PGAM1P11,1.8705968
317,KIF1B,6.594983
320,PGD,7.6521516
322,CENPS,7.6996274
323,CORT,11.96244
324,DFFA,7.8492374
325,PEX14,7.931744
326,RN7SL614P,7.7702913
327,CASZ1,9.165774
328,RP4-734G22.3,7.648468
330,C1orf127,7.5468783
331,CFL1P6,7.7131224
332,TARDBP,9.351551
333,MASP2,7.641011
334,RP4-635E18.8,8.839983
335,SRM,7.400494
336,EXOSC10,8.482745
337,RP4-635E18.7,9.264695
338,RP4-635E18.6,7.5312257
339,MTOR,7.0391145
340,MTOR-AS1,14.511774
342,ANGPTL7,9.741998
345,UBIAD1,8.320782
346,UBE2V2P3,7.741833
348,DISP3,7.5339446
350,FBXO2,8.305457
351,FBXO44,7.266635
352,FBXO6,6.4090834
353,MAD2L2,8.354005
354,DRAXIN,2.8804903
355,AGTRAP,7.670465
356,C1orf167,14.325936
358,MTHFR,7.7052507
359,CLCN6,7.655148
360,NPPA-AS1,3.312951
361,NPPA,7.574115
362,NPPB,7.7940946
363,RP5-934G17.6,7.5293713
364,RNU5E-1,7.477266
366,KIAA2013,8.393791
367,PLOD1,8.144745
368,MFN2,7.6403933
370,MIIP,7.996948
374,TNFRSF8,10.622062
378,TNFRSF1B,7.8066845
382,VPS13D,7.6443195
383,SNORA59A,12.029627
384,RP5-888M10.2,14.483921
385,DHRS3,6.7612934
386,RNU6ATAC18P,7.5084257
388,RP11-474O21.5,7.6135235
389,AADACL4,14.764472
391,AADACL3,2.2920938
392,C1orf158,1.0190274
398,HNRNPCL1,14.276383
432,LRRC38,11.470043
433,RP4-597A16.2,7.744518
435,PDPN,7.301207
437,CTA-520D8.2,14.656003
439,PRDM2,8.662557
440,KAZN,8.210096
442,RP11-344F13.1,7.7215147
443,RP4-704D23.1,0.53112084
445,TMEM51-AS1,10.850121
446,TMEM51,7.647936
450,FHAD1,12.338851
451,RP3-467K16.2,7.733473
452,RP3-467K16.7,0.6866684
453,RP3-467K16.4,7.5238514
454,EFHD2,7.2405214
455,CTRC,7.54065
456,CELA2A,13.428031
457,CELA2B,13.899734
458,CASP9,7.6809864
459,DNAJC16,8.196087
461,RP4-680D5.8,7.4866185
462,AGMAT,12.8259735
463,RP4-680D5.2,1.4958744
464,CHCHD2P6,12.7012
467,DDI2,6.8590055
468,RP4-680D5.9,0.5378058
469,PLEKHM2,6.2307997
470,RP11-288I21.1,11.111942
471,SLC25A34,10.082208
474,FBLIM1,7.6850204
475,RPL12P14,7.517024
476,UQCRHL,9.777022
477,RP11-169K16.8,3.0374296
478,FLJ37453,9.76479
479,SPEN,7.6487446
481,ZBTB17,7.608275
486,C1orf64,7.7043777
487,HSPB7,7.9880223
488,CLCNKA,7.6562786
489,RP11-5P18.10,2.5994823
490,CLCNKB,12.794402
491,FAM131C,7.6194916
492,EPHA2,6.6174254
493,RP11-276H7.2,7.7128434
494,RP11-276H7.3,12.66032
495,ARHGEF19,7.6476398
496,ANO7L1,5.1403966
497,RSG1,7.6330824
498,MT1XP1,12.456012
499,FBXO42,7.6519165
500,SZRD1,6.8202586
501,RP11-430L17.1,14.190431
502,SPATA21,7.7125974
503,NECAP2,6.938754
504,LINC01772,4.8579493
505,CROCCP3,7.6863346
507,RP4-798A10.7,12.916436
509,LINC01783,14.124818
513,NBPF1,8.889374
515,CROCCP2,7.67435
516,MST1P2,9.017612
520,RP5-875O13.7,7.514198
521,EIF1AXP1,2.1052396
522,ESPNP,12.955444
528,MST1L,5.5592074
532,RP11-108M9.3,7.5724025
533,RP11-108M9.4,3.6383448
534,RP11-108M9.5,7.574043
536,RP11-108M9.6,7.735356
537,CROCC,7.0444484
538,MFAP2,6.8262863
539,RP1-37C10.3,7.5337663
540,ATP13A2,7.4514484
541,SDHB,7.673915
542,PADI2,7.975159
543,RP11-380J14.1,12.25539
545,PADI1,8.422591
546,PADI3,3.498459
548,PADI4,13.337188
550,RCC2,7.718388
551,ARHGEF10L,6.173118
555,IGSF21,11.136863
556,RP11-174G17.3,7.477012
559,KLHDC7A,12.909918
562,PAX7,1.6065117
563,TAS1R2,7.579265
564,ALDH4A1,7.7844005
567,IFFO2,10.731047
568,RP5-1126H10.2,9.96727
569,UBR4,7.645923
570,RP1-43E13.2,7.721564
571,EMC1,7.674477
572,MRTO4,7.545265
573,AKR7L,4.9382973
574,AKR7A3,7.672905
575,RP4-657E11.10,3.716884
576,AKR7A2,7.662203
578,PQLC2,8.258961
579,CAPZB,5.9981084
583,MINOS1,7.578686
584,RP5-1056L3.3,7.5799103
585,NBL1,5.6974964
586,HTR6,7.76685
587,TMCO4,8.391099
588,RNF186,7.767085
590,OTUD3,7.6589265
591,PLA2G2E,0.453496
593,PLA2G2A,7.6241026
594,PLA2G5,7.6926055
595,PLA2G2D,14.483831
596,PLA2G2F,7.9311996
597,RP3-340N1.2,1.0680933
598,PLA2G2C,7.5574017
599,UBXN10-AS1,7.5346904
600,UBXN10,10.417441
602,VWA5B1,7.5785675
604,LINC01141,0.51614153
606,CAMK2N1,8.270812
607,MUL1,7.5425506
609,FAM43B,7.5660815
610,CDA,8.82922
611,PINK1,7.7312956
612,PINK1-AS,9.820232
613,DDOST,6.5018086
614,KIF17,4.849885
616,SH2D5,7.543645
618,HP1BP3,9.473312
619,EIF4G3,7.687353
622,RPS15AP6,7.72963
625,ECE1,7.6394973
626,RP3-329E20.2,7.7415757
