,name,recon_1
0,SAMD11,0.6430611
1,NOC2L,0.6109099
2,PERM1,0.68257445
3,HES4,0.6955472
4,AGRN,0.61248803
5,TNFRSF4,0.63125604
6,DVL1,0.60247993
7,CCNL2,0.5309689
8,SSU72,0.6050079
9,CDK11B,0.651828
10,CDK11A,0.6730338
11,PRKCZ,0.6885639
12,SKI,0.5687714
13,HES5,0.6824098
14,PRDM16,0.6829559
15,TP73,0.6898522
16,CHD5,0.65047365
17,HES3,0.11969162
18,HES2,0.66614383
19,ZBTB48,0.6777556
20,THAP3,0.6920264
21,CAMTA1,0.6852903
22,PER3,0.657875
23,PARK7,0.63268775
24,RERE,0.56535995
25,ENO1,0.41637963
26,CTNNBIP1,0.47661164
27,PEX14,0.67703223
28,CASZ1,0.5777079
29,MTOR,0.6375073
30,MAD2L2,0.68819356
31,MTHFR,0.6543842
32,PRAMEF12,0.18290879
33,PRAMEF1,0.047085203
34,PRAMEF11,0.028395766
35,PRAMEF2,0.042187396
36,PRAMEF4,0.014937636
37,PRAMEF10,0.024591465
38,PRAMEF7,0.036240697
39,PRAMEF6,0.006532566
40,PRAMEF27,0.006903225
41,PRAMEF25,0.0
42,PRAMEF9,0.0055902866
43,PRAMEF5,0.0033032692
44,PRAMEF8,0.040333245
45,PRAMEF33,0.009481086
46,PRAMEF15,0.018742124
47,PRAMEF14,0.020156918
48,PRAMEF19,0.038130537
49,PRAMEF17,0.04306424
50,PRAMEF20,0.050679695
51,PRDM2,0.6155489
52,SPEN,0.56780505
53,ZBTB17,0.6651282
54,PADI2,0.6782116
55,PAX7,0.38693702
56,PINK1,0.6700635
57,HP1BP3,0.54980063
58,WNT4,0.6618788
59,ZBTB40,0.64566976
60,KDM1A,0.63277847
61,ZNF436,0.6663742
62,TCEA3,0.6531086
63,E2F2,0.6932449
64,ID3,0.64861673
65,ELOA,0.64717454
66,PITHD1,0.63312083
67,SRSF10,0.6273209
68,GRHL3,0.6195476
69,RUNX3,0.6710516
70,ZNF593,0.07046849
71,ZNF683,0.43068704
72,RPS6KA1,0.65819883
73,ARID1A,0.5935899
74,GPATCH3,0.6878758
75,NR0B2,0.18672591
76,SLC9A1,0.6576198
77,WDTC1,0.60503584
78,PTAFR,0.6956835
79,SESN2,0.6917903
80,MED18,0.6955195
81,TAF12,0.6858723
82,GMEB1,0.689705
83,OPRD1,0.40094873
84,KHDRBS1,0.60881704
85,KPNA6,0.61047375
86,HDAC1,0.63718927
87,ZBTB8B,0.4416664
88,ZBTB8A,0.6958872
89,TRIM62,0.6726615
90,ZNF362,0.6645276
91,PHC2,0.59619445
92,ZSCAN20,0.66795003
93,HMGB4,0.18253683
94,SFPQ,0.4755435
95,TFAP2E,0.6961882
96,PSMB2,0.63125765
97,AGO1,0.6399052
98,THRAP3,0.585701
99,ZC3H12A,0.6403606
100,SNIP1,0.6856527
101,MTF1,0.6797105
102,FHL3,0.68113756
103,POU3F1,0.6806053
104,MYCBP,0.69556695
105,AKIRIN1,0.6726847
106,HEYL,0.69519925
107,PPIE,0.664687
108,MYCL,0.62919134
109,RLF,0.64828813
110,ZMPSTE24,0.6686178
111,ZFP69B,0.585477
112,ZFP69,0.678848
113,ZNF684,0.6704832
114,NFYC,0.638497
115,CITED4,0.65855247
116,SCMH1,0.6723816
117,FOXO6,0.6782577
118,HIVEP3,0.66350937
119,FOXJ3,0.62084943
120,YBX1,0.5230725
121,ZNF691,0.69542474
122,MED8,0.6627381
