Hugo_Symbol,name,recon_1
DSCC1,DSCC1,4.4941926
SYNJ1,SYNJ1,8.765061
SSR4,SSR4,7.4762263
PTPN6,PTPN6,6.964378
FEM1B,FEM1B,5.697561
DHRS2,DHRS2,6.8373704
PANK4,PANK4,5.1628065
CSTF2T,CSTF2T,8.143495
PQBP1,PQBP1,8.417571
ISLR2,ISLR2,7.442175
AC135048.1,AC135048.1,1.4536891
VPS41,VPS41,6.5279536
GHITM,GHITM,8.3575325
GPR116,GPR116,3.79042
C12orf45,C12orf45,4.7277236
FITM1,FITM1,2.3809078
ICMT,ICMT,5.7238326
FAM199X,FAM199X,5.281146
OSR1,OSR1,7.4604063
CCDC8,CCDC8,3.600663
C1GALT1,C1GALT1,6.5008717
RP11-1021N1.1,RP11-1021N1.1,4.324991
NAV3,NAV3,7.718789
KCTD15,KCTD15,8.352237
FCAR,FCAR,1.606606
CEP85,CEP85,6.635581
RAB3IL1,RAB3IL1,3.9547002
EDC4,EDC4,7.1670976
WDR83,WDR83,6.895287
PAX3,PAX3,7.720784
ENTPD2,ENTPD2,3.5229547
NRP2,NRP2,7.3442826
SOX9,SOX9,7.8094296
TUBE1,TUBE1,4.0284224
LETM1,LETM1,5.4806247
CARS2,CARS2,8.792108
C10orf11,C10orf11,3.454269
GTF2H1,GTF2H1,5.302791
SNX29,SNX29,4.330974
ARMCX6,ARMCX6,7.134694
ETV3L,ETV3L,9.772568
SUB1,SUB1,7.2629957
TREML2,TREML2,1.3654217
UBE2M,UBE2M,8.103862
EME2,EME2,8.921377
TEX264,TEX264,6.037771
MAD2L2,MAD2L2,5.7779164
HNF1A,HNF1A,1.8703371
RNF222,RNF222,6.145779
ABCB6,ABCB6,8.450384
PTPRZ1,PTPRZ1,8.399914
PAF1,PAF1,7.957595
PRODH,PRODH,6.4186044
SMCR8,SMCR8,3.8120284
FGD4,FGD4,5.1730967
FUT10,FUT10,5.444486
ZFP62,ZFP62,8.061943
ICAM3,ICAM3,7.094936
PLEKHM1,PLEKHM1,5.914245
SYT10,SYT10,11.040659
EHF,EHF,5.6678057
SCARA5,SCARA5,2.597436
DKK4,DKK4,1.1420333
TAS2R1,TAS2R1,2.6304533
METRN,METRN,5.210152
GSDMD,GSDMD,8.148621
GCSAM,GCSAM,4.820045
RHCE,RHCE,4.3930664
C16orf52,C16orf52,4.2987747
KIF25,KIF25,0.9047166
KCNA4,KCNA4,2.5702376
C11orf21,C11orf21,4.400762
TIMM21,TIMM21,7.602242
ATP6V0D1,ATP6V0D1,7.945273
ZSCAN1,ZSCAN1,0.37757388
TEX29,TEX29,13.342877
BTLA,BTLA,5.66128
BTNL3,BTNL3,10.2899275
SAMD1,SAMD1,8.316024
FOXN1,FOXN1,8.661566
WNT8B,WNT8B,0.38572475
EML5,EML5,2.929225
