,name
0,MT-ND4
1,MT-CO1
2,MT-CO3
3,MT-CYB
4,MT-CO2
5,MT-ATP6
6,MT-ND2
7,MT-ND1
8,MT-ND5
9,EEF1A1
10,ACTB
11,MT-ND3
12,EEF2
13,MT-ND4L
14,ACTG1
15,FTL
16,RPL3
17,RPL13A
18,TPT1
19,MT-ATP8
20,RPL4
21,MT-ND6
22,AHNAK
23,SRRM2
24,B2M
25,PSAP
26,RPS6
27,FLNA
28,RPL13
29,RPL10
30,GLUL
31,GAPDH
32,RPLP0
33,GNAS
34,HSP90AB1
35,ALDOA
36,TMSB4X
37,RPLP1
38,EEF1G
39,RPL7A
40,RPS18
41,TXNIP
42,MYH9
43,RPS4X
44,RPS11
45,HSP90AA1
46,RPL19
47,RPL8
48,GSN
49,DDX5
50,RPS8
51,RPS3
52,SPARC
53,RPL5
54,HNRNPA2B1
55,RPL15
56,HSPA8
57,UBC
58,EIF1
59,VIM
60,PKM
61,RPL7
62,RPL32
63,LENG8
64,ENO1
65,RPS12
66,EIF4G2
67,HLA-E
68,HNRNPA1
69,RPL37A
70,PLEC
71,RPSA
72,RPS27A
73,RPS9
74,RPS24
75,RPS27
76,CSDE1
77,RPS20
78,ATP5B
79,CLU
80,HLA-B
81,PABPC1
82,APP
83,RPS14
84,RPL11
85,CTSB
86,RPL27A
87,TMBIM6
88,TLN1
89,PTMA
90,ITM2B
91,SPTBN1
92,RPL6
93,RPL12
94,CD81
95,CALM1
96,CTSD
97,RPL28
98,RPL18
99,RPL10A
