	names
0	MAGEA4
1	ASCL1
2	WT1
3	MAGEB4
4	NKX2-5
5	NOS1
6	ANKRD1
7	PYDC1
8	ARX
9	SIM2
10	EPO
11	LHX8
12	PRAME
13	MAGEA8
14	TCF23
15	PAX2
16	INSM1
17	ADCY8
18	ACTN2
19	CGA
20	PAX5
21	ERN2
22	SMTNL1
23	CAMK2A
24	OLIG1
25	ZNF80
26	ALX3
27	SP9
28	MAGEA9
29	OLIG1
30	CALCA
31	IFNG
32	PKHD1
33	CALCA
34	CSF2
35	DUSP26
36	CAMK2A
37	IL1A
38	ANKRD1
39	NKX2-5
40	ZNF80
41	WNT3A
42	GDNF
43	LMO1
44	MYOZ2
45	ZIC2
46	PYDC1
47	DACH2
48	MAGEA4
49	ISL1
50	NOS1
51	HOXD13
52	MNX1
53	PLA2G10
54	HES5
55	ALX3
56	CGA
57	MYOZ2
58	MAGEA9
59	ANKRD2
60	NKX2-8
61	TAGLN3
62	NKX3-2
63	MAGEA8
64	MT3
65	FOXA3
66	SOX11
67	CDX1
68	MAEL
69	NKX3-2
70	E2F8
71	TAL2
72	SOX2
73	TAGLN3
74	ZIC4
75	FEZF2
76	TNFSF11
77	FEZF2
78	TNFSF11
79	LMO1
80	PAX5
81	EN2
82	BARX1
83	ANKRD2
84	DLX2
85	DMRTC1
86	SOX2
87	C14orf39
88	MYRFL
89	MAGEB17
90	PTPRN
91	TCF23
92	OTX1
93	ERN2
94	NR0B1
95	ZFP57
96	ST18
97	ZNF695
98	IL2
99	NTS
100	FOXA3
101	INSM1
102	DACH2
103	HOXD11
104	WT1
105	EREG
106	ADCYAP1
107	HMGA2
108	POU6F2
109	PAX2
110	ZSCAN4
111	CSF2
112	ZNF730
113	DMRTC1
114	DLX6
115	CUX2
116	ZIC1
117	ZNF556
118	PRAME
119	TNNI2
120	FOXJ1
121	ALK
122	ACTN2
123	HOXD11
124	RSC1A1
125	ARID3C
126	HOXC11
127	ZNF534
128	TMPRSS6
129	CRYM
130	MAGEC3
131	FIGLA
132	SALL4
133	EMX1
134	SFRP5
135	ALX1
136	HOXB9
137	C14orf39
138	TBX22
139	SOX30
140	ALX1
141	POU3F3
142	CHD5
143	TNFSF18
144	MYCN
145	ETV3L
146	NKX6-1
147	DEPDC1
148	HES2
149	SCGB1A1
150	ATOH7
151	TNFSF18
152	TNF
153	NHLH1
154	PLA2G10
155	WNT3A
156	SIX3
157	CSF3
158	EREG
159	GCM1
160	CDX1
161	ZBED2
162	ABCG4
163	LHX8
164	MYRFL
165	ZNF280B
166	MYOZ1
167	OR7D2
168	VSX1
169	SOX11
170	E2F8
171	BHLHA15
172	CKS1B
173	CHD5
174	ASCL2
175	IL2
176	UCP1
177	ISL1
178	MT3
179	GCM1
180	FOXI2
181	GAL
182	ASCL2
183	ZNF648
184	SP9
185	RORB
186	EOMES
187	POU3F1
188	RFX6
189	EYA1
190	ARX
191	HOXC11
192	POU3F3
193	RIPPLY2
194	MYBL2
195	TNIP3
196	FOXH1
197	SFRP5
198	TBX4
199	ZIM2
200	ZNF732
201	S100A12
202	E2F7
203	HOXC4
204	FOXJ1
205	GDNF
206	FOXN1
207	SPIB
208	BNC1
209	CSF3
210	PYHIN1
211	EN1
212	RIPPLY3
213	FOXF1
214	SPIB
215	EMX1
216	TCF21
217	HOXB5
218	MAGEL2
219	NTS
220	GATA1
221	HOXA11
222	GDF6
223	FOXI2
224	DUSP26
225	HOXC13
226	VSX1
227	HOXA13
228	TNIP3
229	ZNF728
230	POU5F1B
231	GRIN1
232	LEFTY1
233	GLIS1
234	SUMO4
235	DLX6
236	IL1B
237	TBX22
238	MAGEE2
239	MAGEB4
240	FASLG
241	FIGLA
242	ZNF676
243	ST18
244	TNFSF4
245	ADCY1
246	IL1A
247	DLX4
248	ZNF99
249	PRDM16
250	HNF1A
251	NOG
252	DPF1
253	MAGED4
254	HOXB8
255	NKX2-8
256	MNX1
257	ZSCAN4
258	BIRC5
259	BMP5
260	TCF21
261	FOXL1
262	MAGEC3
263	KCNH2
264	NFE2
265	GATA1
266	ADCYAP1
267	BARX1
268	SMAD9
269	RCOR2
270	MIXL1
271	ATOH7
272	RIPPLY1
273	POU6F2
274	HAMP
275	MAK
276	SOHLH2
277	IKZF3
278	MIXL1
279	ZNF488
280	PRKCQ
281	LTF
282	PAX6
283	NRG1
284	TFR2
285	PPARGC1A
286	KLF14
287	FOXM1
288	ZNF556
289	TENM1
290	BEX1
291	ZNF440
292	SDR16C5
293	DLX1
294	DBX2
295	SOX8
296	MSANTD1
297	ARID3C
298	FOXC2
299	DMRT2
300	SPIN2A
301	IGSF1
302	PRDM6
303	CXCL10
304	DMRTA1
305	IL18RAP
306	FOXH1
307	MLIP
308	CD80
309	ADCY8
310	DACH1
311	MLIP
312	MYOZ1
313	BRIP1
314	ZBTB18
315	TENM2
316	TCF15
317	DLX3
318	ELAVL2
319	ZBTB32
320	MSTN
321	HES5
322	CDK15
323	AGER
324	NLRP12
325	DMRTC1B
326	ZNF578
327	AIM2
328	NR1I2
329	OR7D2
330	ZBED2
331	FANCA
332	CDK5R1
333	FGF2
334	ZNF470
335	ZNF844
336	ESR1
337	FOXD4
338	PRRX2
339	SATB2
340	AURKB
341	CCNE1
342	ZNF550
343	C8orf44-SGK3
344	ZFP57
345	ZNF157
346	DACT1
347	ADAM8
348	CAMK4
349	SAMD11
