,0,100recon _recon 10recon _recon 1000,100recon _recon 20recon _recon 1000,200recon _recon 10recon _recon 1000,200recon _recon 20recon _recon 1000
0,OR4F5,0.18575054,0.2659618,0.19351454,0.6996219
1,SAMD11,0.6024682,4.4552846,0.61568856,0.63683254
2,NOC2L,0.69404995,0.7729618,0.78345096,0.7914217
3,KLHL17,0.66313803,5.762999,0.6816073,0.7152367
4,PLEKHN1,0.5537336,3.7105827,0.5624237,0.58631086
5,PERM1,0.56740916,0.59722036,0.5768265,0.59580934
6,HES4,0.6486032,0.6941811,0.6655549,0.7392092
7,ISG15,0.6600082,5.6476464,0.6782928,2.8960533
8,AGRN,0.69426477,0.7875757,0.7581747,1.0248032
9,RNF223,0.37964165,1.9461471,0.38291946,1.9455293
10,C1orf159,0.66988206,0.72854304,0.6898918,0.7601707
11,TTLL10,0.46614742,0.47900316,0.47109672,0.4778527
12,TNFRSF18,0.5350829,3.4713697,0.5439417,1.3775165
13,TNFRSF4,0.55856776,3.7856565,0.5686678,3.785929
14,SDF4,0.69753945,0.8128432,0.83128184,0.8058708
15,B3GALT6,0.6685244,0.7724202,0.6954495,5.93345
16,UBE2J2,0.6893363,0.75875443,0.73699486,0.84567
17,SCNN1D,0.66061723,0.69210154,0.6815593,5.693276
18,ACAP3,0.6970556,0.7898331,0.76796454,0.8400538
19,PUSL1,0.6479575,5.356188,0.6641104,1.2208502
20,CPTP,0.68378955,6.5072503,0.7199793,0.7414892
21,TAS1R3,0.55061597,0.57893777,0.56217295,0.5930018
22,DVL1,0.6973045,0.7839446,0.7970562,0.8045483
23,MXRA8,0.6949619,0.7666065,0.73817766,0.78635633
24,AURKAIP1,0.6942055,0.7759997,0.76334774,0.78657657
25,CCNL2,0.69551164,0.7922897,0.86868834,3.4746938
26,MRPL20,0.690073,0.7773443,0.729306,0.87744737
27,ANKRD65,0.632849,0.679382,0.6466321,4.809611
28,TMEM88B,0.33685768,1.6191939,0.34039244,0.37379977
29,VWA1,0.688393,1.0790721,0.73468727,0.74657464
30,ATAD3C,0.58919203,4.24048,0.60063463,0.6286032
31,ATAD3B,0.67910504,6.2951646,0.70750743,0.85262626
32,ATAD3A,0.67562497,0.7754445,0.6983868,6.1721125
33,TMEM240,0.59749997,0.6728347,0.60887456,3.2064812
34,SSU72,0.6970424,0.83538634,0.7880171,7.602928
35,MIB2,0.69531226,0.81172955,0.7904625,7.254301
36,MMP23B,0.4721472,0.48644775,0.480305,0.4925117
37,CDK11B,0.6905565,0.7415743,0.7479068,0.7756889
38,SLC35E2B,0.69428027,0.80682397,0.7475283,0.8541486
39,CDK11A,0.6811777,0.747601,0.7089908,0.7664745
40,SLC35E2,0.62943363,0.6910608,0.64249396,4.943546
41,NADK,0.69476885,0.8337926,0.77047807,2.8491068
42,GNB1,0.69382364,0.8074078,0.8335448,0.81476444
43,CALML6,0.50748163,0.52902997,0.5160421,3.155292
44,TMEM52,0.55124974,3.6815405,0.5601038,3.6793163
45,GABRD,0.5305412,3.4249413,0.5392932,0.55488837
46,PRKCZ,0.6439613,0.6803566,0.6594341,5.2485976
47,SKI,0.698058,0.7856554,0.8416642,0.8109549
48,MORN1,0.63123375,0.67117774,0.64493823,4.9769382
49,RER1,0.69588494,0.9495621,0.75671273,0.80001616
50,PEX10,0.66230613,0.7059626,0.68357974,5.7363534
51,PLCH2,0.649492,5.382074,0.66736287,5.3865337
52,PANK4,0.6811367,0.727348,0.73666155,6.4010525
53,HES5,0.45514905,0.4834209,0.46253598,0.47256094
54,TNFRSF14,0.691859,0.77307653,0.75646806,6.9299145
55,FAM213B,0.67225176,0.7178735,0.69034606,5.548573
56,MMEL1,0.4762638,0.49416718,0.48449266,2.8167548
57,TTC34,0.57268274,3.671827,0.58387,0.59807444
58,ACTRT2,0.14653312,0.5099864,0.1556471,0.371465
59,PRDM16,0.64088064,5.199054,0.65525603,0.67539394
60,ARHGEF16,0.622225,0.81450766,0.6338334,0.6573096
61,MEGF6,0.6869591,3.5714831,0.72108036,6.5954084
62,TPRG1L,0.69581103,0.83043534,0.7857157,0.7961787
63,WRAP73,0.6723854,0.8074405,0.69501907,4.154243
64,TP73,0.52637005,3.3714797,0.5365971,3.3738964
65,CCDC27,0.21073921,0.83205533,0.21433143,0.82783276
66,SMIM1,0.54496783,0.59209734,0.5566916,0.5732095
67,LRRC47,0.6937673,0.7557866,0.7495949,0.8121722
68,CEP104,0.68557703,0.7593191,0.7191061,0.7547922
69,DFFB,0.6487245,0.6784613,0.66448385,0.6820795
70,C1orf174,0.6726399,0.7464173,0.6986681,0.7559583
71,AJAP1,0.5866443,0.60849154,0.59821105,4.200051
72,NPHP4,0.6705359,5.9972825,0.6910889,5.99881
73,KCNAB2,0.6877947,0.752555,0.73441416,0.75655586
74,CHD5,0.6124256,0.6336701,4.6298575,4.637591
75,RPL22,0.6958456,0.8198452,0.8532414,0.8246174
76,RNF207,0.66372305,5.7792454,0.6829514,5.776576
77,ICMT,0.6942602,0.7779658,0.74788845,0.82349485
78,GPR153,0.6634479,5.0770617,0.6814097,5.7765994
79,ACOT7,0.67602503,0.72401154,0.70119023,6.18427
80,HES2,0.4216815,0.46429172,0.4270736,0.4506412
81,ESPN,0.5834527,4.140373,0.5931885,4.145697
82,TNFRSF25,0.6621967,0.7151106,0.6800447,5.738642
83,PLEKHG5,0.6856749,0.74388355,0.7255663,0.77566886
84,NOL9,0.67654234,0.71986055,0.7033067,1.32021
85,TAS1R1,0.4190539,2.2736263,0.42595083,2.1490393
86,ZBTB48,0.6775721,0.7219401,0.70285445,6.249989
87,KLHL21,0.69692636,0.79214865,0.8013516,0.8572638
88,PHF13,0.6830227,6.441503,0.73278505,0.863948
89,THAP3,0.6666127,0.76359487,0.68763554,5.8760667
90,DNAJC11,0.6812328,6.3930964,0.70759493,0.802624
91,CAMTA1,0.686345,0.73776007,0.7166239,0.77144694
92,VAMP3,0.6972561,0.8178106,0.8132208,0.8282161
93,PER3,0.681391,0.7402952,0.70961124,0.74569863
94,UTS2,0.21786268,0.85430074,0.25515327,0.86772114
95,TNFRSF9,0.3645548,0.41947663,0.37381014,1.5714625
96,PARK7,0.69737315,0.78697604,0.8047835,7.829885
97,ERRFI1,0.6977734,0.7805212,0.7826321,0.8409323
98,SLC45A1,0.6281369,2.7253315,0.6419456,1.0429189
99,RERE,0.6971755,0.808686,0.8329532,0.85331696
100,ENO1,0.6872186,0.8243976,0.86472374,0.8467568
101,CA6,0.24244207,1.0045112,0.24400705,0.5398231
102,SLC2A5,0.6328212,0.6644923,0.64750904,0.67702013
103,GPR157,0.6534407,4.351431,0.67076266,5.484644
104,H6PD,0.697818,0.8015158,0.7928703,0.79675376
105,SPSB1,0.68376034,0.7366751,0.71327174,0.74568653
106,SLC25A33,0.65401024,0.698271,0.67165345,0.755649
107,TMEM201,0.67253816,0.7283702,0.7002799,6.0592284
108,PIK3CD,0.67602706,0.72086334,0.7009368,1.2550354
109,CLSTN1,0.69720244,0.800328,0.80420655,0.83752656
110,CTNNBIP1,0.68516374,0.76166415,0.71907794,0.7909943
111,LZIC,0.66739523,0.85417366,0.69028735,0.87282944
112,NMNAT1,0.6483184,0.68504167,0.6638417,5.3724365
113,RBP7,0.6396856,5.180039,0.655574,0.7129287
114,UBE4B,0.6951096,0.7807306,0.764844,0.83899146
115,KIF1B,0.69734913,0.7683588,0.76637554,7.7254963
116,PGD,0.69706255,0.8050605,0.7661941,7.278532
117,CORT,0.5249639,3.358161,0.5339635,3.3587155
118,DFFA,0.68602353,0.7526305,0.7166322,0.7558092
119,PEX14,0.6777316,0.76011336,0.69942963,0.81252897
120,CASZ1,0.6630666,0.7058307,0.68158793,0.7879561
121,C1orf127,0.42712563,0.44501516,0.43369117,0.83882254
122,TARDBP,0.69789004,0.8000828,0.84983546,0.80913806
123,MASP2,0.6121131,4.621953,0.6252824,0.66067797
124,SRM,0.6918982,0.968203,0.7390256,0.7835524
125,EXOSC10,0.693764,0.7880231,0.80980706,0.7750851
126,MTOR,0.69546914,0.76667446,0.75690097,0.91655797
127,ANGPTL7,0.5740652,0.63678885,0.5845681,0.6010008
